Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
HS-ETS1-4,Use a computer simulation to model the impact of proposed solutions to a complex real-world problem with numerous criteria and constraints on interactions within and between systems relevant to the problem.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ETS1-3,"Evaluate a solution to a complex real-world problem based on prioritized criteria and trade-offs that account for a range of constraints, including cost, safety, reliability, and aesthetics, as well as possible social, cultural, and environmental impacts.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ETS1-2,"Design a solution to a complex real-world problem by breaking it down into smaller, more manageable problems that can be solved through engineering.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ETS1-1,Analyze a major global challenge to specify qualitative and quantitative criteria and constraints for solutions that account for societal needs and wants.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ETS1,Engineering Design,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4-5,Communicate technical information about how some technological devices use the principles of wave behavior and wave interactions with matter to transmit and capture information and energy.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4-4,Evaluate the validity and reliability of claims in published materials of the effects that different frequencies of electromagnetic radiation have when absorbed by matter.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4-3,"Evaluate the claims, evidence, and reasoning behind the idea that electromagnetic radiation can be described either by a wave model or a particle model, and that for some situations one model is more useful than the other.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4-2,Evaluate questions about the advantages of using a digital transmission and storage of information.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4-1,"Use mathematical representations to support a claim regarding relationships among the frequency, wavelength, and speed of waves traveling in various media.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS4,Waves and Their Applications in Technologies for Information Transfer,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3-5,Develop and use a model of two objects interacting through electric or magnetic fields to illustrate the forces between objects and the changes in energy of the objects due to the interaction.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3-4,Plan and conduct an investigation to provide evidence that the transfer of thermal energy when two components of different temperature are combined within a closed system results in a more uniform energy distribution among the components in the system (second law of thermodynamics).,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3-3,"Design, build, and refine a device that works within given constraints to convert one form of energy into another form of energy.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3-2,Develop and use models to illustrate that energy at the macroscopic scale can be accounted for as either motions of particles or energy stored in fields.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3-1,Create a computational model to calculate the change in the energy of one component in a system when the change in energy of the other component(s) and energy flows in and out of the system are known.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS3,Energy,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-6,Communicate scientific and technical information about why the molecular-level structure is important in the functioning of designed materials.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-5,Plan and conduct an investigation to provide evidence that an electric current can produce a magnetic field and that a changing magnetic field can produce an electric current.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-4,Use mathematical representations of Newton's Law of Gravitation and Coulomb's Law to describe and predict the gravitational and electrostatic forces between objects.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-3,"Apply scientific and engineering ideas to design, evaluate, and refine a device that minimizes the force on a macroscopic object during a collision.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-2,Use mathematical representations to support the claim that the total momentum of a system of objects is conserved when there is no net force on the system.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2-1,"Analyze data to support the claim that Newton's second law of motion describes the mathematical relationship among the net force on a macroscopic object, its mass, and its acceleration.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS2,Motion and Stability: Forces and Interactions,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-8,"Develop models to illustrate the changes in the composition of the nucleus of the atom and the energy released during the processes of fission, fusion, and radioactive decay.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-7,"Use mathematical representations to support the claim that atoms, and therefore mass, are conserved during a chemical reaction.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-6,Refine the design of a chemical system by specifying a change in conditions that would produce increased amounts of products at equilibrium.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-5,Apply scientific principles and evidence to provide an explanation about the effects of changing the temperature or concentration of the reacting particles on the rate at which a reaction occurs.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-4,Develop a model to illustrate that the release or absorption of energy from a chemical reaction system depends upon the changes in total bond energy.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-3,Plan and conduct an investigation to gather evidence to compare the structure of substances at the bulk scale to infer the strength of electrical forces between particles.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-2,"Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1-1,Use the periodic table as a model to predict the relative properties of elements based on the patterns of electrons in the outermost energy level of atoms.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-PS1,Matter and Its Interactions,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-6,Use a computational representation to illustrate the relationships among Earth systems and how those relationships are being modified due to human activity.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-5,Analyze geoscience data and the results from global climate models to make an evidence-based forecast of the current rate of global or regional climate change and associated future impacts to Earth systems.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-4,Evaluate or refine a technological solution that reduces impacts of human activities on natural systems.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-3,"Create a computational simulation to illustrate the relationships among management of natural resources, the sustainability of human populations, and biodiversity.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-2,"Evaluate competing design solutions for developing, managing, and utilizing energy and mineral resources based on cost-benefit ratios.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3-1,"Construct an explanation based on evidence for how the availability of natural resources, occurrence of natural hazards, and changes in climate have influenced human activity.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS3,Earth and Human Activity,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-7,Construct an argument based on evidence about the simultaneous coevolution of Earth systems and life on Earth.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-6,"Develop a quantitative model to describe the cycling of carbon among the hydrosphere, atmosphere, geosphere, and biosphere.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-5,Plan and conduct an investigation of the properties of water and its effects on Earth materials and surface processes.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-4,Use a model to describe how variations in the flow of energy into and out of Earth systems result in changes in climate.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-3,Develop a model based on evidence of Earth's interior to describe the cycling of matter by thermal convection.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-2,Analyze geoscience data to make the claim that one change to Earth's surface can create feedbacks that cause changes to other Earth systems.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2-1,Develop a model to illustrate how Earth's internal and surface processes operate at different spatial and temporal scales to form continental and ocean-floor features.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS2,Earth's Systems,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-6,"Apply scientific reasoning and evidence from ancient Earth materials, meteorites, and other planetary surfaces to construct an account of Earth's formation and early history.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-5,Evaluate evidence of the past and current movements of continental and oceanic crust and the theory of plate tectonics to explain the ages of crustal rocks.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-4,Use mathematical or computational representations to predict the motion of orbiting objects in the solar system.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-3,"Communicate scientific ideas about the way stars, over their life cycle, produce elements.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-2,"Construct an explanation of the Big Bang theory based on astronomical evidence of light spectra, motion of distant galaxies, and composition of matter in the universe.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1-1,Develop a model based on evidence to illustrate the life span of the sun and the role of nuclear fusion in the sun's core to release energy that eventually reaches Earth in the form of radiation.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-ESS1,Earth's Place in the Universe,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-6,Create or revise a simulation to test a solution to mitigate adverse impacts of human activity on biodiversity.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-5,"Evaluate the evidence supporting claims that changes in environmental conditions may result in: (1) increases in the number of individuals of some species, (2) the emergence of new species over time, and (3) the extinction of other species.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-4,Construct an explanation based on evidence for how natural selection leads to adaptation of populations.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-3,Apply concepts of statistics and probability to support explanations that organisms with an advantageous heritable trait tend to increase in proportion to organisms lacking this trait.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-2,"Construct an explanation based on evidence that the process of evolution primarily results from four factors: (1) the potential for a species to increase in number, (2) the heritable genetic variation of individuals in a species due to mutation and sexual reproduction, (3) competition for limited resources, and (4) the proliferation of those organisms that are better able to survive and reproduce in the environment.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4-1,Communicate scientific information that common ancestry and biological evolution are supported by multiple lines of empirical evidence.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS4,Biological Evolution: Unity and Diversity,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS3-3,Apply concepts of statistics and probability to explain the variation and distribution of expressed traits in a population.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS3-2,"Make and defend a claim based on evidence that inheritable genetic variations may result from: (1) new genetic combinations through meiosis, (2) viable errors occurring during replication, and/or (3) mutations caused by environmental factors.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS3-1,Ask questions to clarify relationships about the role of DNA and chromosomes in coding the instructions for characteristic traits passed from parents to offspring.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS3,Heredity: Inheritance and Variation of Traits,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-8,Evaluate the evidence for the role of group behavior on individual and species' chances to survive and reproduce.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-7,"Design, evaluate, and refine a solution for reducing the impacts of human activities on the environment and biodiversity.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-6,"Evaluate the claims, evidence, and reasoning that the complex interactions in ecosystems maintain relatively consistent numbers and types of organisms in stable conditions, but changing conditions may result in a new ecosystem.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-5,"Develop a model to illustrate the role of photosynthesis and cellular respiration in the cycling of carbon among the biosphere, atmosphere, hydrosphere, and geosphere.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-4,Use a mathematical representation to support claims for the cycling of matter and flow of energy among organisms in an ecosystem.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-3,Construct and revise an explanation based on evidence for the cycling of matter and flow of energy in aerobic and anaerobic conditions.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-2,Use mathematical representations to support and revise explanations based on evidence about factors affecting biodiversity and populations in ecosystems of different scales.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2-1,Use mathematical and/or computational representations to support explanations of factors that affect carrying capacity of ecosystems at different scales.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS2,"Ecosystems: Interactions, Energy, and Dynamics",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-7,Use a model to illustrate that cellular respiration is a chemical process whereby the bonds of food molecules and oxygen molecules are broken and the bonds in new compounds are formed resulting in a net transfer of energy.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-6,"Construct and revise an explanation based on evidence for how carbon, hydrogen, and oxygen from sugar molecules may combine with other elements to form amino acids and/or other large carbon-based molecules.",Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-5,Use a model to illustrate how photosynthesis transforms light energy into stored chemical energy.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-4,Use a model to illustrate the role of cellular division (mitosis) and differentiation in producing and maintaining complex organisms.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-3,Plan and conduct an investigation to provide evidence that feedback mechanisms maintain homeostasis.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-2,Develop and use a model to illustrate the hierarchical organization of interacting systems that provide specific functions within multicellular organisms.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1-1,Construct an explanation based on evidence for how the structure of DNA determines the structure of proteins which carry out the essential functions of life through systems of specialized cells.,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
HS-LS1,From Molecules to Organisms: Structures and Processes,Science,Grade_10,9-12,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
,"Science is a result of human endeavors, imagination, and creativity.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Science and engineering are influenced by society and society is influenced by science and engineering.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Technological advances have influenced the progress of science and science has influenced advances in technology.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Science is a Human Endeavor ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Scientific knowledge is based on the assumption that natural laws operate today as they did in the past and they will continue to do so in the future.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Science assumes the universe is a vast single system in which basic laws are consistent.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Scientific Knowledge Assumes an Order and Consistency in Natural Systems ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Many decisions are not made using science alone, but rely on social and cultural contexts to resolve issues.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Science knowledge indicates what can happen in natural systems—not what should happen. The latter involves ethics, values, and human decisions about the use of knowledge.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Science and technology may raise ethical issues for which science, by itself, does not provide answers and solutions.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Science Addresses Questions About the Natural and Material World ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Science and engineering complement each other in the cycle known as research and development (R&D). Many R&D projects may involve scientists, engineers, and others with wide ranges of expertise.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Science and engineering complement each other in the cycle known as research and development (R&D).,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Interdependence of Science, Engineering, and Technology ",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Analysis of costs and benefits is a critical aspect of decisions about technology.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"New technologies can have deep impacts on society and the environment, including some that were not anticipated.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"New technologies can have deep impacts on society and the environment, including some that were not anticipated. Analysis of costs and benefits is a critical aspect of decisions about technology.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Engineers continuously modify these technological systems by applying scientific knowledge and engineering design practices to increase benefits while decreasing costs and risks.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Modern civilization depends on major technological systems.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Modern civilization depends on major technological systems. Engineers continuously modify these technological systems by applying scientific knowledge and engineering design practices to increase benefits while decreasing costs and risks.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Influence of Engineering, Technology, and Science on Society and the Natural World ",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Change and rates of change can be quantified and modeled over very short or very long periods of time. Some system changes are irreversible.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Feedback (negative or positive) can stabilize or destabilize a system.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Systems can be designed for greater or lesser stability.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Much of science deals with constructing explanations of how things change and how they remain stable.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 7,CCC 7:  Stability and Change ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"The functions and properties of natural and designed objects and systems can be inferred from their overall structure, the way their components are shaped and used, and the molecular substructures of its various materials.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Investigating or designing new systems or structures requires a detailed examination of the properties of different materials, the structures of different components, and connections of components to reveal its function and/or solve a problem.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 6,CCC 6:  Structure and Function ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Energy drives the cycling of matter within and between systems.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Energy cannot be created or destroyed—it only moves between one place and another place, between objects and/or fields, or between systems.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Changes of energy and matter in a system can be described in terms of energy and matter flows into, out of, and within that system. ",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,The total amount of energy and matter in closed systems is conserved.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"In nuclear processes, atoms are not conserved, but the total number of protons plus neutrons is conserved.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 5,CCC 5:  Energy and Matter ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Empirical evidence is required to differentiate between cause and correlation and make claims about specific causes and effects.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Models (e.g., physical, mathematical, computer models) can be used to simulate systems and interactions—including energy, matter, and information flows—within and between systems at different scales.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Models can be used to predict the behavior of a system, but these predictions have limited precision and reliability due to the assumptions and approximations inherent in models.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"When investigating or describing a system, the boundaries and initial conditions of the system need to be defined and their inputs and outputs analyzed and described using models.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"When investigating or describing a system, the boundaries and initial conditions of the system need to be defined.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 4,CCC 4:  Systems and System Models ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"Algebraic thinking is used to examine scientific data and predict the effect of a change in one variable on another (e.g., linear growth vs. exponential growth).",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Using the concept of orders of magnitude allows one to understand how a model at one scale relates to a model at another scale.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,"The significance of a phenomenon is dependent on the scale, proportion, and quantity at which it occurs.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 3,"CCC 3:  Scale, Proportion, and Quantity ",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Cause and effect relationships can be suggested and predicted for complex natural and human designed systems by examining what is known about smaller scale mechanisms within the system.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Systems can be designed to cause a desired effect.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Empirical evidence is required to differentiate between cause and correlation and make claims about specific causes and effects.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 2,CCC 2:  Cause and Effect ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Empirical evidence is needed to identify patterns.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Different patterns may be observed at each of the scales at which a system is studied and can provide evidence for causality in explanations of phenomena.,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
CCC 1,CCC 1:  Patterns ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
,Crosscutting Concepts ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
LS4.D,"Humans depend on the living world for the resources and other benefits provided by biodiversity. But human activity is also having adverse impacts on biodiversity through overpopulation, overexploitation, habitat destruction, pollution, introduction of invasive species, and climate change. Thus sustaining biodiversity so that ecosystem functioning and productivity are maintained is essential to supporting and enhancing life on Earth. Sustaining biodiversity also aids humanity by preserving landscapes of recreational or inspirational value.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
LS4.D,Biodiversity is increased by the formation of new species (speciation) and decreased by the loss of species (extinction).,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
LS4.D,Biodiversity and Humans ,Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
LS4.C,"Species become extinct because they can no longer survive and reproduce in their altered environment. If members cannot adjust to change that is too fast or drastic, the opportunity for the species' evolution is lost.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
LS4.C,"Changes in the physical environment, whether naturally occurring or human induced, have thus contributed to the expansion of some species, the emergence of new distinct species as populations diverge under different conditions, and the decline–and sometimes the extinction–of some species.",Science,Grade_10,9-12,,California,,https://www.nextgenscience.org/overview-dci
