Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
WL.CN2.S,"Research, analyze, discuss and hypothesize in the target language about diverse perspectives and distinctive viewpoints on topics ranging from broad general interests, to unfamiliar, abstract and hypothetical areas of specialized professional and academic expertise language through authentic materials from the target cultures.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN2.A,Research and explain diverse perspectives and distinctive viewpoints on topics of general public interest in the target language through authentic materials from the target cultures.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN2.I,Identify diverse perspectives and distinctive viewpoints on topics related to self and the immediate environment in the target language from age-appropriate authentic materials from the target cultures.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN2.N,Recognize diverse perspectives and distinctive viewpoints on very familiar common daily topics primarily in the target language from age-appropriate authentic materials from the target cultures.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CN.2,Diverse Perspectives and Distinctive Viewpoints,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN1.S,"Research, analyze, discuss and hypothesize in the target language about topics ranging from broad general interests, to unfamiliar, abstract and hypothetical areas of specialized professional and academic expertise across disciplines.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN1.A,"Acquire, exchange, and present information in the target language on factual topics of public interest and general academic content across disciplines.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN1.I,"Acquire, exchange, and present information in the target language on topics related to self and the immediate environment and age- appropriate academic content across disciplines.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CN1.N,"Acquire, exchange, and present information primarily in the target language about very familiar common daily elements of life and age-appropriate academic content across disciplines.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CN.1,Connections to Other Disciplines,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
6B66CDBC260C4FA0B3F5BDAC90D5096B,Connections,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL4.S,"Research, analyze, discuss and hypothesize about a wide range of concrete and abstract, general and specialized, academic and professional products, practices and perspectives, and how they change when cultures come into contact.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL4.A,"Describe how products, practices and perspectives change when cultures come into contact.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL.4.I,State reasons for cultural borrowings.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL4.N,Identify cultural borrowings.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CL.4,Intercultural Influences,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL3.S,"Research, analyze, discuss and hypothesize about similarities and differences among concrete and abstract, general and specialized, academic and professional products practices and perspectives in the mainstream cultures of the United States, the students' own cultures, and the target cultures.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL3.A,"Describe and explain similarities and differences among products, practices and perspectives of general public interest in the mainstream cultures of the United States, the students' own cultures, and the target cultures.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL3.I,"Exchange information about similarities and differences among common daily products, practices and perspectives in the immediate environment in the mainstream cultures of the United States, the students' own cultures, and the target cultures.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL3.N,"Identify some similarities and differences among very familiar, common daily products, practices and perspectives in the mainstream cultures of the United States, the students' own cultures, and the target cultures.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CL.3,Cultural Comparisons,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL2.S,"Research, analyze, discuss and hypothesize about the relationships among a wide range of concrete and abstract, general and specialized, academic and professional target-cultures' products, practices and perspectives from different viewpoints, in culturally-appropriate ways.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL2.A,"Participate, use, describe and discuss the relationships among target-cultures' products, practices and perspectives in culturally-appropriate ways in most informal and formal settings.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL2.I,"Experience, recognize and explore the relationships among typical age-appropriate target- cultures' products, practices and perspectives in culturally-appropriate ways in transactional situations and some informal settings.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL2.N,"Experience, recognize and explore the relationships among typical age-appropriate target- cultures' products, practices and perspectives in culturally-appropriate ways in very familiar common daily settings.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CL.2,"Cultural Products, Practices and Perspectives",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL1.S,"Improvise in culturally-appropriate ways in unfamiliar and unpredictable situations, in informal and formal settings, and in specialized academic and professional contexts.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL1.A,Interact with cultural competence in most informal and formal settings.,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL1.I,"Interact with understanding in a variety of familiar age-appropriate, transactional situations and common daily informal settings.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
WL.CL1.N,"Use age-appropriate gestures and expressions in very familiar, common daily settings.",World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
CL.1,Culturally Appropriate Interaction,World Languages (2019-),Grade_10,1-12,,California,2019,https://www.cde.ca.gov/be/st/ss/documents/wlstandards2.docx
