Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
CLAIM.4.G,"Identify, analyze, and synthesize relevant external resources to pose or solve problems (Measured in PT only) ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.F,"Identify important quantities in a practical situation and map their relationship (e.g.using diagrams, two way tables, graphs, flowcharts, or formulas) ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.E,Analyze the adequacy of and make improvements to an existing model or develop a mathematical model of a real phenomenon. ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.D,Interpret results in the context of a situation ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.C,State logical assumptions being used. ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.B,"Construct, autonomously, chains of reasoning to justify mathematical models used, interpretations made, and solutions proposed for a complex problem. ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4.A,"Apply mathematics to solve problems arising in everyday life, society, and the workplace. ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.4,"Students can analyze complex, real-world scenarios and can construct and use mathematical models to interpret and solve problems.",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.G,"At later grades, determine conditions under which an argument does and does not apply. (For example, area increases with perimeter for squares, but not for all plane figures.) ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.F,"Base arguments on concrete referents such as objects, drawings, diagrams, or actions. ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.E,"Distinguish correct logic or reasoning from that which is flawed, and if there is a flaw in the argument, explain what it is. ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.D,Use the technique of breaking an argument into cases. ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.C,State logical assumptions being used. ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.B,"Construct, autonomously, chains of reasoning that will justify or refute propositions or conjectures. ",CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3.A,Test propositions or conjectures with specific examples. ,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
CLAIM.3,Students can clearly and precisely construct viable arguments to support their own reasoning and to critique the reasoning of others,CAASPP/SBAC Assessment (2018-),Grade_11,,,California,,https://portal.smarterbalanced.org/library/en/mathematics-summative-assessment-blueprint.pdf
