Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
US.K.5,"In what ways have issues such as education; civil rights for people of color, immigrants, and lesbian, gay, bisexual, and transgender (LGBTQ) Americans, and disabled Americans; economy policy; recognition of economic, social and cultural rights; the environment; and the status of women remained unchanged over time? In what ways have they changed?",History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.K.4,Why is the United States more diverse now than it was in the middle of the 20th century?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.K.3,"What does globalization mean, and how has it affected the United States?",History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.K.2,"How did the Cold War end, and what foreign policy developments resulted?",History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.K.1,How has the role of the federal government (and especially the presidency) changed from the 1920s through more recent times?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.K,Contemporary American Society,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.8,How did the war in Vietnam affect movement for equality at home?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.7,How was the war in Vietnam similar to and different from the other Cold War struggles?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.6,How was the government involved in the Civil Rights Movement?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.5,Did the Civil Rights Movement succeed?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.4,How did various movements for equality build upon one another?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.3,What were the goals and strategies of the Civil Rights Movement?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.2,What does “equal rights” mean?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J.1,Why was there a Civil Rights Movement?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.J,Movements for Equality,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.I.4,How did the Cold War affect ordinary Americans?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.I.3,How were American politics shaped by the Cold War?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.I.2,How did the government work to combat the perceived threat of communism domestically?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.I.1,How was the Cold War fought domestically?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.I,Cold War Struggles at Home,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.H.4,How did anti-communism drive foreign policy?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.H.3,Why was the period between 1946 and 1990 known as the Cold War?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.H.2,How did American foreign policy shift after World War II?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.H.1,What was Containment? How was it employed?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.H,Cold War Struggles Abroad,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.6,How did World War II serve to advance movements for equality at home and abroad?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.5,How did the America win the war in the Pacific?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.4,How was the war mobilized and fought differently in the Atlantic versus the Pacific?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.3,How did American government change because of World War II?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.2,How did American government change because of World War II?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G.1,Why did Americans not want to join World War II before the bombing at Pearl Harbor?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.G,America's Participation in World War II,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.F.3,How did ordinary people respond tthe Great Depression?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
US.F.2,How did the New Deal attempt to remedy problems from the Great Depression?,History-Social Science Frameworks (2016-),Grade_11,,,California,,https://www.google.com/url?q=https://www.cde.ca.gov/ci/hs/cf/hssframework.asp&sa=D&source=editors&ust=1684952337962997&usg=AOvVaw1xO8eRrywKDwy93yuIWJVD
