Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
TDC.4.5,"The student leader acknowledges that images/video of students and staff should never be
presented in such a way that would embarrass or humiliate.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.4.4,"The student leader demonstrates an understanding of the law and school/district policy
regarding the public sharing of images/video of minors on social media and in other public
forums, and works with school administration to protect student privacy. ",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.4.3,"The student leader includes a diverse cross-section of the student body when creating video
or photo presentations to be shared school-wide.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.4.2,"The student leader demonstrates a basic understanding of video and photography skills as
they relate to their role on the student leadership team.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.4.1,"The student leader recognizes the role of video and photography in the promotion of positive
school culture.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.4,"Video and Photography: As access to technology grows, student leaders are increasingly using visual/media arts to
promote a positive culture and climate at their schools. These tools have the power to connect
students to their school, but care must be taken to use these tools responsibly, and in a way
that is always positive and inclusive.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.3.5,"The student leader demonstrates an understanding of the basic setup of an audio/visual
presentation and can connect a video source to both an audio and a video projection system.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.3.4,"The student leader selects music and other media that are appropriate for the nature of the
event, as well as to the values of the school community and the audience present at the event.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.3.3,"The student leader demonstrates an understanding of the basic functions of a sound system
and can set up music and a microphone for any occasion.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
TDC.3.2,"The student leader creates an inclusive audio/visual environment that is accessible to all
audience members.",Student Leadership Standards (2019-),Grade_11,9-12,,California,,https://docs.google.com/document/d/1JpnvCElfaKsV67hnJ9-J3BrMl0zOR4AfbotLciJXgO0/edit
