Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
27.0,"Students know the techniques of solution of selected elementary differential equations and their applications to a wide variety of situations, including growth-and-decay problems.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
26.0,"Students calculate Taylor polynomials and Taylor series of basic functions, including the remainder term.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
25.0,Students differentiate and integrate the terms of a power series in order to form new series from known ones.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
24.0,Students understand and can compute the radius (interval) of the convergence of power series.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
23.0,"Students demonstrate an understanding of the definitions of convergence and divergence of sequences and series of real numbers. By using such tests as the comparison test, ratio test, and alternate series test, they can determine whether a series converges.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
22.0,Students understand improper integrals as limits of definite integrals.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
21.0,Students understand the algorithms involved in Simpson's rule and Newton's method. They use calculators or computers or both to approximate integrals numerically.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
20.0,Students compute the integrals of trigonometric functions by using the techniques noted above.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
19.0,"Students compute, by hand, the integrals of rational functions by combining the techniques in standard 17.0 with the algebraic techniques of partial fractions and completing the square.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
18.0,Students know the definitions and properties of inverse trigonometric functions and the expression of these functions as indefinite integrals.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
17.0,"Students compute, by hand, the integrals of a wide variety of functions by using techniques of integration, such as substitution, integration by parts, and trigonometric substitution. They can also combine these techniques when appropriate.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
16.0,"Students use definite integrals in problems involving area, velocity, acceleration, volume of a solid, area of a surface of revolution, length of a curve, and work.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
15.0,Students demonstrate knowledge and proof of the fundamental theorem of calculus and use it to interpret integrals as antiderivatives.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
14.0,"Students apply the definition of the integral to model problems in physics, economics, and so forth, obtaining results in terms of integrals.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
13.0,Students know the definition of the definite integral by using Riemann sums. They use this definition to approximate integrals.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
12.0,Students use differentiation to solve related rate problems in a variety of pure and applied contexts.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
11.0,Students use differentiation to solve optimization (maximum-minimum problems) in a variety of pure and applied contexts.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
10.0,Students know Newton's method for approximating the zeros of a function.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
9.0,"Students use differentiation to sketch, by hand, graphs of functions. They can identify maxima, minima, inflection points, and intervals in which the function is increasing and decreasing.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
8.0,"Students know and can apply Rolle's Theorem, the mean value theorem, and L'Hôpital's rule.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
7.0,Students compute derivatives of higher orders.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
6.0,"Students find the derivatives of parametrically defined functions and use implicit differentiation in a wide variety of problems in physics, chemistry, economics, and so forth.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
5.0,Students know the chain rule and its proof and applications to the calculation of the derivative of a variety of composite functions.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.4,"Students derive derivative formulas and use them to find the derivatives of algebraic, trigonometric, inverse trigonometric, exponential, and logarithmic functions.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.3,Students understand the relation between differentiability and continuity.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.2,"Students demonstrate an understanding of the interpretation of the derivative as an instantaneous rate of change. Students can use derivatives to solve a variety of problems from physics, chemistry, economics, and so forth that involve the rate of change of a function.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.1,Students demonstrate an understanding of the derivative of a function as the slope of the tangent line to the graph of the function.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.0,Students demonstrate an understanding of the formal definition of the derivative of a function at a point and the notion of differentiability:,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
3.0,Students demonstrate an understanding and the application of the intermediate value theorem and the extreme value theorem.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.0,Students demonstrate knowledge of both the formal definition and the graphical interpretation of continuity of a function.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.3,"Students prove and use special limits, such as the limits of (sin(x))/x and (1-cos(x))/x as x tends to 0.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.2,Students use graphical calculators to verify and estimate limits.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.1,"Students prove and use theorems evaluating the limits of sums, products, quotients, and composition of functions.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.0,"Students demonstrate knowledge of both the formal definition and the graphical interpretation of limit of values of functions. This knowledge includes one-sided limits, infinite limits, and limits at infinity. Students know the definition of convergence and divergence of a function as the domain variable approaches either a number or infinity:",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
61525B6978E240E0A2FE2E57AD1DA67B,Higher Mathematics Course — Calculus,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
19.0,Students are familiar with the chi-square distribution and chi-square test and understand their uses.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
18.0,Students determine the P-value for a statistic for a simple random sample from a normal distribution.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
17.0,Students determine confidence intervals for a simple random sample from a normal distribution of data and determine the sample size required for a desired margin of error.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
16.0,Students know basic facts concerning the relation between the mean and the standard deviation of a sampling distribution and the mean and the standard deviation of the population distribution.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
15.0,"Students are familiar with the notions of a statistic of a distribution of values, of the sampling distribution of a statistic, and of the variability of a statistic.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
14.0,"Students organize and describe distributions of data by using a number of different methods, including frequency tables, histograms, standard line graphs and bar graphs, stem-and-leaf displays, scatterplots, and box-and-whisker plots.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
13.0,Students know what the correlation coefficient of two variables means and are familiar with the coefficient's properties.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
12.0,Students find the line of best fit to a given distribution of data by using least squares regression.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
11.0,Students compute the variance and the standard deviation of a distribution of data.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
10.0,"Students know the definitions of the mean, median, and mode of distribution of data and can compute each of them in particular situations.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
9.0,Students know the central limit theorem and can use it to obtain approximations for probabilities in problems of finite sample spaces in which the probabilities are distributed binomially.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
8.0,Students determine the mean and the standard deviation of a normally distributed random variable.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
7.0,"Students demonstrate an understanding of the standard distributions (normal, binomial, and exponential) and can use the distributions to solve for events in problems in which the distribution belongs to those families.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
6.0,Students know the definition of the variance of a discrete random variable and can determine the variance for a particular discrete random variable.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
5.0,Students know the definition of the mean of a discrete random variable and can determine the mean for a particular discrete random variable.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
4.0,Students understand the notion of a continuous random variable and can interpret the probability of an outcome as the area of a region under the graph of the probability density function associated with the random variable.,Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
3.0,"Students demonstrate an understanding of the notion of discrete random variables by using this concept to solve for the probabilities of outcomes, such as the probability of the occurrence of five or fewer heads in 14 coin tosses.",Mathematics,Grade_12,9-12,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
