Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
5.G.4,Students reliably and proactively anticipate the consequences of their actions. Students demonstrate complex understanding of the interconnected impacts of one’s choices and demonstrate accountability for their actions.,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.F.4,"Students demonstrate higher-order thinking skills (e.g., critical thinking, cognitive flexibility, analysis, integration) and show discernment, use of facts, and thoughtfulness in their decision-making. Students apply critical thinking in all aspects of their life and relationships, including interactions online.",Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Agency,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.E.4,Students recognize their role as civic-minded members of a democratic society. Students engage in civil discourse about current events and engage in advocacy and actions that promote care and community well-being.,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.D.4,"Students can accurately identify physical, intellectual, emotional, and social safety considerations for themselves and for others based on identity and social factors in real-world scenarios. Students accurately discern the difference between risky and safe behaviors and actions.",Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Belonging,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.C.4,"Students can assess, analyze, and develop a problem statement to personal, social, or political issues impacting their community. Students can approach such problems with a collaborative
improvement-
orientation.",Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.B.4,"Students apply the concepts of honesty, integrity, justice, and fairness by calling out injustices and inequalities. Students actively engage in environmental justice causes both at school and in their community.",Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.A.4,Students deepen their curiosity and practice an inquiry stance in all social situations. Students willingly challenge themselves to participate in new learning experiences beyond their comfort zone.,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Identity,Social-Emotional Learning,Grade_12,9-12,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.G.5,"Adults predict how they may feel and respond in various situations and share how they evaluate the impact of these choices on others. Adults understand and share how their own words, thoughts, and actions have impacted themselves and others in a variety of contexts.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.F.5,"Adults model the process of using data and facts to make decisions. Adults share how they gather data, synthesize, apply, and reflect on it in new situations to make informed decisions.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Agency,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.E.5,Adults embody being a caring and responsible citizen and resident. Adults advocate for student and community well-being and a more equitable society through civic engagement and active participation in our democracy.,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.D.5,"Adults model honoring the emotional, intellectual, and physical safety of themselves and others by creating a safe and brave learning environment. Adults recognize that safety is a relative concept and is influenced by identity and social factors.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Belonging,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.C.5,"Adults responsibly solve personal and social problems. Adults model ways to explore personal, social, and political issues; gather information; and propose (and, if possible, test) improvement strategies.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.B.5,"Adults act as models of fairness, honesty, and integrity and hold their students to similar high standards. Adults model ways to promote environmental equity and justice.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.A.5,"Adults model being curious about others, including their experiences and points of view. Adults share ways in which they have grown and are currently growing through their interactions with others.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Identity,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
4.H.5,"Adults regularly call out inequities,
advocate for social and racial justice, and take action to promote the well-being, humanity, and dignity of others.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.G.5,"Adults use nonviolent communication to clearly express their needs, advocate for themselves, and compromise with others. Adults are emotionally present and available to students, families, and colleagues.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.F.5,"Adults model employing restorative justice steps including the five R’s of relationship, respect, responsibility, repair, and reintegration. Adults adopt a restorative, healing-focused stance in their relationships with students and other adults.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.E.5,"Adults model the process of working with others to solve problems, engaging in active listening, practicing reciprocal vulnerability, and contributing to the common good.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Agency,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.D.5,"Adults model cultural humility and dedication to continuously strive toward cultural competence. Adults remain curious about and respectful of others’ cultures, view difference as an asset, and share their own cultural experiences.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.C.5,"Adults model being trusting friends, showing culturally affirming gratitude, and maintaining healthy relationships among people of different ages, races, cultures, linguistic backgrounds, neurodivergence, ability, genders, and sexual orientations.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Belonging,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.B.5,"Adults understand differences in leadership models, such as autocratic, democratic, distributive, etc. Adults demonstrate leadership among their colleagues, with families, and with students, and share their own leadership strategies and successes.",Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.A.5,Adults model prosocial relationships with colleagues and students alike by using appropriate communication when a personal value is compromised.,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Identity,Social-Emotional Learning,Grade_12,,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
