Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
1.VA:Cn11,Understand that people from different places and times have made art for a variety of reasons.,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Cn10,"Identify times, places, and reasons for which students make art outside of school.",Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Connecting,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Re9,Classify artwork based on different reasons for preferences using learned art vocabulary.,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Re9,Apply Criteria to Evaluate Artistic Work,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Re8,Interpret art by categorizing subject matter and identifying the mood and characteristics of form.,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Re8, Interpret Intent and Meaning in Artistic Work,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
1.VA:Re7.2,Compare images that represent the same subject.,Arts (2019-),Grade_01,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
