Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
L.1.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.5d,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.5c,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.5b,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.5a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.4c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.4b,Use frequently occurring affixes as a clue to the meaning of a word.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.4a,Use sentence-level context as a clue to the meaning of a word or phrase.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
1F0964CD98964EECB9312A31BCE4C537,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
A31464C7E83C4700955A24DC17581533,(Begins in grade 2),English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
598FEEAA32494A33A7293163A6DF5460,Knowledge of Language,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2c,Use commas in dates and to separate single words in a series.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2b,Use end punctuation for sentences.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2a,Capitalize dates and names of people.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1i,"Use frequently occurring prepositions (e.g., during, beyond, toward).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1h,"Use determiners (e.g., articles, demonstratives).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1g,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1f,Use frequently occurring adjectives.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1d,"Use personal (subject, object), possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1b,"Use common, proper, and possessive nouns.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1a,Print all upper- and lowercase letters.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.1.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
56A22AC9D091437F800B7C996E7227BE,Conventions of Standard English,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
623C2BD2296D4D6CB804226343C0C6CC,Language Standards,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.6,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
4F6153BFAE4046159222679CC303EFE1,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
65F6F4439563497EBE61C52480B71878,Knowledge of Language,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
824687A2A4444E13BFB01405995431B1,Conventions of Standard English,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
04A42111A7FE4466979BC4848EF7778B,College and Career Readiness Anchor Standards for Language,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.6,Produce complete sentences when appropriate to task and situation.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.5,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.4.a,"Memorize and recite poems, rhymes, and songs with expression.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.4,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
92A7983AFE3643B1AEA87E6B20031DF9,Presentation of Knowledge and Ideas,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.2.a,"Give, restate, and follow simple two-step directions.",English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.2,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.1.c,Ask questions to clear up any confusion about the topics and texts under discussion.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.1.1.b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.,English Language Arts & Literacy (2010-),Grade_01,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
