Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
CCSS.ELA-Literacy.L.1.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.5d,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.5c,"Identify real-life connections between words and their use (e.g., note places at home that are cozy).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.5b,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.5a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.4c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.4b,Use frequently occurring affixes as a clue to the meaning of a word.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.4a,Use sentence-level context as a clue to the meaning of a word or phrase.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC179060DFE401311AF268A86D17958E,Vocabulary Acquisition and Use,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC174A20DFE401311AF168A86D17958E,(Begins in grade 2),English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC16FEB0DFE401311AF068A86D17958E,Knowledge of Language,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2c,Use commas in dates and to separate single words in a series.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2b,Use end punctuation for sentences.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2a,Capitalize dates and names of people.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1i,"Use frequently occurring prepositions (e.g., during, beyond, toward).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1h,"Use determiners (e.g., articles, demonstratives).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1g,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1f,Use frequently occurring adjectives.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1b,"Use common, proper, and possessive nouns.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1a,Print all upper- and lowercase letters.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.1.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC0F7A60DFE401311AEF68A86D17958E,Conventions of Standard English,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC0F22A0DFE401311AEE68A86D17958E,Language Standards,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.6,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC2447B0DFE401311AFE68A86D17958E,Vocabulary Acquisition and Use,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC23C6B0DFE401311AFD68A86D17958E,Knowledge of Language,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.CCRA.L.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC231A20DFE401311AFC68A86D17958E,Conventions of Standard English,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC22CBA0DFE401311AFB68A86D17958E,College and Career Readiness Anchor Standards for Language,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.6,Produce complete sentences when appropriate to task and situation.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.5,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.4,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC0D6800DFE401311AED68A86D17958E,Presentation of Knowledge and Ideas,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.2,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.1c,Ask questions to clear up any confusion about the topics and texts under discussion.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.1b,Build on others' talk in conversations by responding to the comments of others through multiple exchanges.,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.1a,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.SL.1.1,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CC0A70F0DFE401311AEC68A86D17958E,Comprehension and Collaboration,English Language Arts,Grade_01,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
