Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
ELD.PII.1.7.Br,"Condense clauses in a variety of ways (e.g., through embedded clauses and other condensing, for example, through embedded clauses as in She's a doctor. She's amazing. She saved the animals. → She's the amazing doctor who saved the animals) to create precise and detailed sentences in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.7.Ex,"Condense clauses in a growing number of ways (e.g., through embedded clauses as in, She's a doctor. She saved the animals. → She's the doctor who saved the animals) to create precise and detailed sentences in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.7.Em,"Condense clauses in simple ways (e.g., changing: I like blue. I like red. I like purple → I like blue, red, and purple) to create precise and detailed sentences in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
EAA0539916F3456EB6BB3CF83CA94804,Condensing ideas,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.6.Br,"Combine clauses in a wide variety of ways (e.g., rearranging complete, simple-to-form compound sentences) to make connections between and to join ideas (e.g., The boy was hungry. The boy ate a sandwich. → The boy was hungry so he ate a sandwich) in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.6.Ex,"Combine clauses in an increasing variety of ways to make connections between and to join ideas, for example, to express cause/effect (e.g., She jumped because the dog barked), in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.6.Em,"Combine clauses in a few basic ways to make connections between and to join ideas (e.g., creating compound sentences using and, but, so) in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
F9523D01B9324EA19F26C07185142451,Connecting ideas,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
B519EF84745849219202F462AC99DD6C,Connecting and Condensing Ideas,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.5.Br,"Expand simple and compound sentences with prepositional phrases to provide details (e.g., time, manner, place, cause) in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.5.Ex,"Expand sentences with prepositional phrases to provide details (e.g., time, manner, place, cause) about a familiar or new activity or process in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.5.Em,"Expand sentences with frequently used prepositional phrases (such as in the house, on the boat) to provide details (e.g., time, manner, place, cause) about a familiar activity or process in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
278B0D6716414EDC84C8DB8DAB2A2E10,Modifying to add details,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.4.Br,"Expand noun phrases in a wide variety of ways (e.g., adding a variety of adjectives to noun phrases) in order to enrich the meaning of phrases/sentences and add details about ideas, people, things, and the like, in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.4.Ex,"Expand noun phrases in a growing number of ways (e.g., adding a newly learned adjective to a noun) to enrich the meaning of sentences and add details about ideas, people, things, and the like, in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.4.Em,"Expand noun phrases in simple ways (e.g., adding a familiar adjective to describe a noun) in order to enrich the meaning of sentences and add details about ideas, people, things, and the like, in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
F34C522844AF4E4D962A4663B8C5642B,Using nouns and noun phrases,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3b.Br,"Use a wide variety of verb tenses appropriate for the text type and discipline to convey time (e.g., simple present for a science description, simple future to predict) in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3a.Br,"Use a wide variety of verbs and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3b.Ex,"Use a growing number of verb tenses appropriate for the text type and discipline to convey time (e.g., simple past tense for retelling, simple present for a science description) in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3a.Ex,"Use a growing number of verbs and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3b.Em,"Use simple verb tenses appropriate for the text type and discipline to convey time (e.g., simple past for recounting an experience) in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.3a.Em,"Use frequently used verbs (e.g., go, eat, run) and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
0EDD8D7A974D40F983EC51D33AB14D4F,Using verbs and verb phrases,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
9AD633F76A644A76A01116EEAE262407,Expanding and Enriching Ideas,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.2.Br,"Apply understanding of how ideas, events, or reasons are linked throughout a text using a variety of connecting words or phrases (e.g., for example, after that, first/second/third) to comprehending texts and writing texts in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.2.Ex,"Apply understanding of how ideas, events, or reasons are linked throughout a text using a growing number of connecting words or phrases (e.g., a long time ago, suddenly) to comprehending texts and writing texts in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.2.Em,"Apply basic understanding of how ideas, events, or reasons are linked throughout a text using more everyday connecting words or phrases (e.g., one day, after, then) to comprehending texts and writing texts in shared language activities guided by the teacher, with peers, and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
B762DA94A5BD4F51A96947A7741ADDE2,Understanding cohesion,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.1.Br,"Apply understanding of how different text types are organized predictably to express ideas (e.g., how a story is organized versus an informative/explanatory text versus an opinion text) to comprehending texts and writing texts in shared language activities guided by the teacher and independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.1.Ex,"Apply understanding of how different text types are organized to express ideas (e.g., how a story is organized sequentially with predictable stages versus how an informative text is organized by topic and details) to comprehending texts and writing texts in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.1.1.Em,"Apply understanding of how text types are organized (e.g., how a story is organized by a sequence of events) to comprehending texts and composing basic texts with substantial support (e.g., using drawings, through joint construction with a peer or teacher) to comprehending texts and writing texts in shared language activities guided by the teacher, with peers, and sometimes independently.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
BAEE537CC56C4AB5B1E5F32BD69958E2,Understanding text structure,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
846D9A40319448479DE27FC926DF8B7A,Structuring Cohesive Texts,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
8D539439B1884308A475058768DB141E,Learning About How English Works,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12b.Br,"Use a wide variety of general academic and domain-specific words, synonyms, antonyms, and non-literal language (e.g., The dog was as big as a house) to create an effect, precision, and shades of meaning while speaking and writing.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12a.Br,"Retell texts and recount experiences, using increasingly detailed complete sentences and key words.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12b.Ex,"Use a growing number of general academic and domain-specific words in order to add detail, create an effect (e.g., using the word suddenly to signal a change), or create shades of meaning (e.g., prance versus walk) while speaking and writing.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12a.Ex,"Retell texts and recount experiences, using complete sentences and key words.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12b.Em,"Use a select number of general academic and domain-specific words to add detail (e.g., adding the word scrumptious to describe a favorite food, using the word thorax to refer to insect anatomy) while speaking and writing.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.1.12a.Em,"Retell texts and recount experiences, using key words.",English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
89896B324E3E431B85D0ACCB3C6BEC44,Selecting and applying varied and precise vocabulary and language structures to effectively convey ideas,English Language Development (2012-),Grade_01,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
