Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
8.2.P,"Demonstrate the ability to support other students who have chronic diseases and conditions (e.g., asthma, allergies, diabetes, and epilepsy).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.P,Educate family and peers to protect against skin damage from the sun.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B73520DFE3013190EB68A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.4.P,"Demonstrate appropriate behaviors during fire drills, earthquake drills, and other disaster drills.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.3.P,Demonstrate proper ways of protecting oneself from the sun and ways to select and apply sunscreen.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.P,"Demonstrate techniques for preventing disease transmission (e.g., covering sneezes and coughs, frequent handwashing).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.P,Demonstrate proper toothbrushing and flossing techniques.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B5E4F0DFE3013190E668A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.1.P,Make a plan to practice dental and personal hygiene.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B54C90DFE3013190E468A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.P,Use a decision-making process to evaluate how personal hygiene behaviors promote one's health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B4AE20DFE3013190E268A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.P,Demonstrate effective communication skills in an emergency situation.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.P,Demonstrate effective communication skills when asking for assistance with health-related problems.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B39BF0DFE3013190DF68A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.2.P,Explain why parents or guardians keep a health record for their child.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.P,Identify individuals in the school and in the community who promote health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B29600DFE3013190DC68A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
2.1.P,Explain how family and friends influence positive health practices.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8B20100DFE3013190DA68A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.9.P,"Identify emergency situations (e.g., injuries, abductions, fires, floods, earthquakes).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.8.P,"Identify materials that can be reduced, reused, or recycled.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.7.P,Discuss how individual behavior affects the environment and community.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.6.P,Explain the difference between communicable diseases and noncommunicable diseases.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.P,"Describe symptoms of some common health problems and illnesses, including chronic diseases (e.g., asthma, allergies, diabetes, influenza).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.P,Identify ways to prevent the transmission of communicable diseases.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.P,Discuss the importance of preventing the transmission of germs.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.P,Identify the importance of sun safety.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.P,Explain the importance of effective dental and personal hygiene practices.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AF3400DFE3013190D068A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AEEF90DFE3013190CF68A86D17958E,Personal and Community Health,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.S,Encourage others to practice safe behaviors in the classroom and on the playground.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AE5980DFE3013190CD68A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.3.S,Explain appropriate protective gear and equipment.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.S,"Practice emergency, fire, and safety plans at home and at school.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.S,"Practice ways to stay safe at home, at school, and in the community.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AD2E60DFE3013190C968A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.4.S,"Analyze why wearing a helmet when biking, skateboarding, or in-line skating increases safety.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.3.S,Assess reasons for reporting weapons possession.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.2.S,Identify the benefits of using nonviolent means to resolve conflicts.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.S,Analyze steps to take in emergency or potentially dangerous situations.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8ABE600DFE3013190C468A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.S,Identify ways to report inappropriate touching.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.S,Describe how to report dangerous situations.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AB0410DFE3013190C168A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.S,List people to go to for help if feeling unsafe or threatened.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8AA6000DFE3013190BF68A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
2.1.S,Describe internal and external influences that could lead to or prevent injury or violence.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8A9CD40DFE3013190BD68A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.13.S,"Identify refusal skills when in personal-safety situations (e.g., use a clear ""no"" statement, walk or run away, change subject, delay).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.12.S,Define simple conflict resolution techniques.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.11.S,Demonstrate proper lifting and carrying techniques for handling heavy backpacks and book bags.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.10.S,"Identify ways to reduce risk of injuries while traveling in an automobile or bus (e.g., wearing a safety belt).",Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.9.S,Define and explain the dangers of weapons and the importance of telling a trusted adult if you see or hear about someone having a weapon.,Health (2008-),Grade_01,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
