Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
1.G.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.G.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.G.1,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.G.A,Reason with shapes and their attributes.,Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
E49C9376CD6544579B3DDAB7C6E67B06,Geometry,Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.MD.4,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.MD.C,Represent and interpret data.,Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.MD.3,Tell and write time in hours and half-hours using analog and digital clocks.,Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.MD.B,Tell and write time.,Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
1.MD.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",Mathematics,Grade_01,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
