Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
F62910E0DFE301318CF868A86D17958E,Identify and demonstrate effective practices for working with a group without interfering with others.,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F628C620DFE301318CF768A86D17958E,Identify and demonstrate the attributes of an effective partner in physical activity.,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F62887D0DFE301318CF668A86D17958E,Group Dynamics,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F62848B0DFE301318CF568A86D17958E,Invite others to use equipment or apparatus before repeating a turn.,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F6280860DFE301318CF468A86D17958E,Demonstrate the characteristics of sharing and cooperation in physical activity.,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F627C590DFE301318CF368A86D17958E,Social Interaction,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F6278300DFE301318CF268A86D17958E,"Identify and demonstrate acceptable responses to challenges, successes, and failures in physical activity.",Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F6273DF0DFE301318CF168A86D17958E,Participate willingly in new physical activities.,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F626EA70DFE301318CF068A86D17958E,Self-Responsibility,Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F626A5F0DFE301318CEF68A86D17958E,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Physical Education,Grade_01,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
