Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
1-PS4-4,Use tools and materials to design and build a device that uses light or sound to solve the problem of communicating over a distance.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-PS4-3,Plan and conduct an investigation to determine the effect of placing objects made with different materials in the path of a beam of light.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-PS4-2,Make observations to construct an evidence-based account that objects can be seen only when illuminated.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-PS4-1,Plan and conduct investigations to provide evidence that vibrating materials can make sound and that sound can make materials vibrate.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-PS4,Waves and their Applications in Technologies for Information Transfer,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-ESS1-2,Make observations at different times of year to relate the amount of daylight to the time of year.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-ESS1-1,"Use observations of the sun, moon, and stars to describe patterns that can be predicted.",Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-ESS1,Earth's Place in the Universe,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-LS3-1,"Make observations to construct an evidence-based account that young plants and animals are like, but not exactly like, their parents.",Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-LS3,Heredity: Inheritance and Variation of Traits,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-LS1-2,Read texts and use media to determine patterns in behavior of parents and offspring that help offspring survive.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-LS1-1,"Use materials to design a solution to a human problem by mimicking how plants and/or animals use their external parts to help them survive, grow, and meet their needs.",Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
1-LS1,From Molecules to Organisms: Structures and Processes,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.",Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.",Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1,Engineering Design,Science,Grade_01,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
EP&C-5-b,"The process of making decisions about resources and natural systems, and how the assessment of social, economic, political, and environmental factors has changed over time.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5-a,There is a spectrum of what is considered in making decisions about resources and natural systems and how those factors influence decisions.,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5,PRINCIPLE V: Decisions Affecting Resources and Natural Systems are Complex and Involve Many Factors Decisions affecting resources and natural systems are based on a wide range of considerations and decision‐making processes. ,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-c,"The capacity of natural systems to adjust to human-caused alterations depends on the nature of the system as well as the scope, scale, and duration of the activity and the nature of its byproducts",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-b,"The byproducts of human activity are not readily prevented from entering natural systems and may be beneficial, neutral, or detrimental in their effect.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-a,The effects of human activities on natural systems are directly related to the quantities of resources consumed and to the quantity and characteristics of the resulting byproducts.,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4,PRINCIPLE IV: There are no Permanent or Impermeable Boundaries that Prevent Matter from Flowing Between Systems The exchange of matter between natural systems and human societies affects the long‐ term functioning of both. ,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-c,Human practices can alter the cycles and processes that operate within natural systems.,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-b,Human practices depend upon and benefit from the cycles and processes that operate within natural systems.,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-a,Natural systems proceed through cycles and processes that are required for their functioning.,Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3,"PRINCIPLE III: Natural Systems Change in Ways that People Benefit from and can Influence Natural systems proceed through cycles that humans depend upon, benefit from and can alter. ",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-d,"The legal, economic, and political systems that govern the use and management of natural systems directly influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-c,"The expansion and operation of human communities influences the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-b,"Methods used to extract, harvest, transport, and consume natural resources influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-a,"Direct and indirect changes to natural systems due to the growth of human populations and their consumption rates influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2,"PRINCIPLE II: People Influence Natural Systems The long‐term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies. ",Science,Grade_01,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
