Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
,"6. Usan las palabras y las frases que han aprendido a
través de conversaciones, al leer y al escuchar cuando
se les lee, al responder a los textos, incluyendo el
uso de conjunciones de uso frecuente, para indicar
las relaciones entre ideas (ejemplo: Le he puesto el
nombre Mordisco a mi hámster porque le gusta mucho
mordisquear).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"d. Distinguen los matices de significado entre verbos
que son sinónimos pero que difieren en connotación
(ejemplo: mirar, ver, ojear, observar, contemplar)
y adjetivos que difieren en intensidad (ejemplo:
grande, gigantesco) al definirlos o elegirlos, o
mediante la actuación de sus significados.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"c. Identifican las conexiones en la vida real entre las
palabras y sus usos (ejemplo: nombran lugares
acogedores en el hogar).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"b. Definen las palabras por categoría y por uno o más
atributos clave (ejemplo: un pato es un ave que
nada; un tigre es un felino grande con rayas).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"a. Ordenan las palabras en categorías
(ejemplo: colores, ropa) para obtener un sentido
de los conceptos que representan las categorías. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"5. Con la orientación y el apoyo de adultos, demuestran
comprensión de las relaciones entre las palabras y
sus matices de significado. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"c. Identifican la raíz de las palabras de uso frecuente
(por ejemplo: mirar) y sus formas de inflexión
(ejemplo: miradas, miró, mirando).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"b. Usan los afijos de uso frecuente para entender el
significado de una palabra. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"a. Usan el contexto de la oración para entender el
significado de una palabra o frase. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"4. Determinan o aclaran el significado de palabras y
frases desconocidas y de palabras y frases con
significados múltiples, en base a la lectura y el
contenido académico de primer grado, eligiendo con
flexibilidad entre una serie de estrategias. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,Adquisición y uso de vocabulario,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,3. (Se inicia en el 2do grado).,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,Conocimiento del lenguaje ,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"f. Reconocen el acento escrito en palabras sencillas
y ya conocidas (mamá, papá, José).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,Acentuación,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"e. Deletrean fonéticamente palabras desconocidas,
usando la fonética, el reconocimiento de palabras
y las normativas de la ortografía.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"d. Usan ortografía convencional para palabras con
patrones ortográficos comunes y para palabras de
ortografía compleja de uso frecuente. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"c. Reconocen la función de la coma para enumerar y
separar palabras en una serie. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"b. Usan la puntuación correcta para empezar
y/o finalizar las oraciones, incluyendo el uso
correcto de los signos de interrogación ¿?; y de
exclamación ¡!.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"a. Emplean la mayúscula al escribir nombres de
personas, lugares, nombres de días festivos
(Navidad, Año Nuevo, etc.) y eventos importantes
(Cinco de Mayo). ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"2. Demuestran al escribir dominio de las normativas del
español para el uso de las letras mayúsculas, signos
de puntuación y ortografía. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"l. Reconocen y explican la formación de las dos
contracciones del español: al = a + el,
del = de + el.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"k. Leen palabras compuestas (abrelatas, anteojos,
sacapuntas) y separan las dos palabras que las
componen.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"j. Producen y elaboran oraciones declarativas,
interrogativas, imperativas y exclamativas, simples
y compuestas al responder a sugerencias o pautas.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"i. Usan correctamente las preposiciones que se
utilizan con frecuencia (ejemplo: sin, según,
desde, hasta, hacia).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"h. Usan determinativos tales como los artículos
o pronombres demostrativos, reconociendo la
concordancia de género y número (ejemplo: los
libros, esos libros; las niñas, aquellas niñas).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"g. Usan conjunciones que se utilizan con frecuencia
(ejemplo: y, pero, o, así que, porque).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"f. Usan adjetivos que se utilizan con frecuencia
notando concordancia de género y número con
el sustantivo.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"e. Usan verbos regulares para comunicar la noción
del tiempo pasado, presente y futuro (ejemplo:
Ayer caminé a casa. Hoy camino a casa. Mañana
caminaré a casa).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"d. Usan pronombres personales, pronombres
posesivos e indefinidos (yo, me, mi, mío, alguien).
Reconocen el uso formal e informal entre
tú/usted.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"c. Usan el sustantivo en su forma singular o plural
empleando la concordancia correcta entre
sustantivo y verbo en oraciones básicas
(ejemplo: el niño brinca; los niños brincan).",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,b. Usan sustantivos comunes y propios. ,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"a. Escriben con letra de molde todas las letras
mayúsculas y minúsculas. ",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"1. Demuestran dominio de las normativas de la
gramática del español y su uso al escribir y al hablar.",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,Normas y convenciones del español,World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
,"PRIMER GRADO
ESTÁNDARES DE LENGUAJE",World Languages - Spanish,Grade_01,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade1.pdf
