Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
2.VA:Cn11,Compare and contrast cultural uses of artwork from different times and places.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Cn10,"Create works of art about events in home, school, or community life.",Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Connecting,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re9,Use learned art vocabulary to express preferences about artwork.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re9,Apply Criteria to Evaluate Artistic Work,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re8,Interpret art by identifying the mood suggested by a work of art and describing relevant subject matter and characteristics of form.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re8,Interpret Intent and Meaning in Artistic Work,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Responding,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re7.2,Categorize images based on expressive properties.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re7.1,Perceive and describe aesthetic characteristics of one’s natural world and constructed environments.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Re7, Perceive and Analyze Artistic Work,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr6,"Analyze how art exhibited inside and outside of schools (such as in museums, galleries, virtual spaces, and other venues) contributes to communities.",Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr6,Convey Meaning Through the Presentation of Artistic Work,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr5,Distinguish between different materials or artistic techniques for preparing artwork for presentation.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr5,Develop and Refine Artistic Techniques and Work for Presentation,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr4,Categorize artwork based on a theme or concept for an exhibit.,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
2.VA:Pr4,"Select, Analyze, and Interpret Artistic Work for Presentation",Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Presenting,Arts (2019-),Grade_02,,,California,,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
