Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
,"People use computing technology in ways that can help or hurt themselves and/or others. Harmful behaviors, such as sharing passwords or other private information and leaving public devices logged in should be recognized and avoided. Students keep login information private, log off of devices appropriately, and discuss the importance of these practices.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.IC.20,"Describe approaches and rationales for keeping login information private, and for logging off of devices appropriately.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Electronic communication facilitates positive interactions, such as sharing ideas with many people, but the public and anonymous nature of electronic communication also allows intimidating and inappropriate behavior in the form of cyberbullying. Responsible electronic communication includes limiting access to personably identifiable information. Students learn and use appropriate behavior when communicating electronically (often called ""netiquette"").",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.IC.19,Work respectfully and responsibly with others when communicating electronically.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Computing technologies have changed the way people live and work. Students describe the positive and negative impacts of these changes. 

For example, as a class, students could create a timeline that includes advancements in computing technologies. Each student could then choose an advancement from the timeline and make a graphic organizer noting how people's lives were different before and after its introduction into society. ",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.IC.18,Compare how people lived and worked before and after the adoption of new computing technologies.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,Impacts of Computing,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Program developers make choices and iterate to continually refine their product. At this stage, students explain or write about the goals and expected outcomes of the programs they create and the choices that they made when creating programs. Students could use coding journals, discussions with a teacher, class presentations, or blogs.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.17,Describe the steps taken and choices made during the iterative process of program development.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Algorithms or programs may not always work correctly. Students use various strategies, such as changing the sequence of the steps, following the algorithm in a step-by-step manner, or trial and error to fix problems in algorithms and programs.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.16,Debug errors in an algorithm or program that includes sequences and simple loops.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Computing makes it easy to reuse and remix others' creations, and this comes with a level of responsibility. Students credit artifacts that were created by others, such as pictures, music, and code. Credit could be given orally if presenting their work to the class, or in writing if sharing work on a class blog or website. Proper attribution at this stage does not require formal citation, such as in a bibliography or works cited document.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.15,Give attribution when using the ideas and creations of others while developing programs.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Creating a plan for what a program will do clarifies the steps that will be needed to create the program and can be used to check if a program runs as expected. Students create a planning document to illustrate their program's sequence of events, goals, and expected outcomes of what their program will do. Planning documents could include a story map, a storyboard, or a sequential graphic organizer, to illustrate their program's sequence of events, goals, and expected outcomes of what their program will do. Students at this level may complete the planning process with help from the teacher.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.14,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Decomposition is the act of breaking down tasks into simpler tasks.

For example, students could break down the steps needed to make a peanut butter and jelly sandwich, to brush their teeth, to draw a shape, to move a character across the screen, or to solve a level of a coding app. In a visual programming environment, students could break down the steps needed to draw a shape.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.13,Decompose the steps needed to solve a problem into a sequence of instructions.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,People create programs by composing sequences of commands that specify the precise order in which instructions should be executed. Loops enable programs to repeat a sequence of commands multiple times.,Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
K-2.AP.12,"Create programs with sequences of commands and simple loops, to express ideas or address a problem.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"Information in the real world can be represented in computer programs. Students model the digital storage of data by transforming real-world information into symbolic representations that include text, numbers, and images.",Computer Science (2018-),Grade_02,1-2,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
