Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
L.2.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g., When other kids are happy that makes me happy).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.5b,"Distinguish shades of meaning among closely related verbs (e.g., toss, throw, hurl) and closely related adjectives (e.g., thin, slender, skinny, scrawny).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.5a,"Identify real-life connections between words and their use (e.g., describe foods that are spicy or juicy).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.5,Demonstrate understanding of word relationships and nuances in word meanings.,English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4e,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases in all content areas.",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4d,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g., birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4c,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., addition, additional).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4b,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g., happy/unhappy, tell/retell).",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4a,Use sentence-level context as a clue to the meaning of a word or phrase.,English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.2.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies.",English Language Arts & Literacy (2010-),Grade_02,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
