Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
ELD.PII.2.7.Br,"Condense clauses in a variety of ways (e.g., through embedded clauses and other condensing as in, It's a plant. It's green and red. It's found in the tropical rain forest. → It's a green and red plant that's found in the tropical rain forest) to create precise and detailed sentences independently.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.7.Ex,"Condense clauses in a growing number of ways (e.g., through embedded clauses as in, It's a plant. It's found in the rain forest. → It's a green and red plant that's found in the rain forest) to create precise and detailed sentences with increasing independence.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.7.Em,"Condense clauses in simple ways (e.g., changing: It's green. It's red. → It's green and red) to create precise and detailed sentences in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
1207209D5D3743DB933C3C9E672ADB25,Condensing ideas,English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.6.Br,"Combine clauses in a wide variety of ways (e.g., rearranging complete, simple-to-form compound sentences) to make connections between and to join ideas (e.g., The boy was hungry. The boy ate a sandwich. → The boy was hungry so he ate a sandwich) independently.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.6.Ex,"Combine clauses in an increasing variety of ways to make connections between and to join ideas, for example, to express cause/effect (e.g., She jumped because the dog barked) with increasing independence.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.6.Em,"Combine clauses in a few basic ways to make connections between and to join ideas (e.g., creating compound sentences using and, but, so) in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
E3F81BFB7F0445BC97EA60944538738D,Connecting ideas,English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
1D29BA4695B341859C17581D28CF9CDF,Connecting and Condensing Ideas,English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.2.5.Br,"Expand sentences with a variety of adverbials (e.g., adverbs, adverb phrases, prepositional phrases) to provide details (e.g., time, manner, place, cause) independently.",English Language Development (2012-),Grade_02,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
