Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
8.2.M,Support peers in school and community activities.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.M,Object appropriately to teasing of peers that is based on personal characteristics.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E45F60DFE30131913D68A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.3.M,Discuss suicide-prevention strategies.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.M,Show respect for individual differences.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.M,Manage emotions appropriately in a variety of situations.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E34C60DFE30131913A68A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.1.M,Describe how to make a commitment to be a good friend.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E2BC40DFE30131913868A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.M,Use a decision-making process for solving problems with peers and family members.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E22ED0DFE30131913668A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.M,Demonstrate how to ask for help from trusted adults or friends.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.M,Identify and demonstrate ways to express needs and wants appropriately.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E14EB0DFE30131913368A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.2.M,"Identify people in the community who are caring, supportive, and trustworthy.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.M,"Discuss ways to obtain information from family, school personnel, health professionals, and other responsible adults.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8E06530DFE30131913068A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
2.1.M,"Identify internal and external factors that influence mental, emotional, and social health.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8DFB9B0DFE30131912E68A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.12.M,Describe the characteristics of a trusted friend and adult.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.11.M,"Identify the positive ways that peers and family members show support, care, and appreciation for one another.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.10.M,Describe how to work and play cooperatively.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.9.M,Identify positive and negative ways of dealing with stress.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.8.M,"List healthy ways to express affection, love, friendship, and concern.",Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.7.M,Discuss how to show respect for similarities and differences between and among individuals and groups.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.6.M,Identify feelings and emotions associated with loss or grief.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.M,Identify characteristics of a responsible family member.,Health (2008-),Grade_02,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
