Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
2.5,"Students understand the importance of individual action and character and explain how heroes from long ago and the recent past have made a difference in others' lives (e.g., from biographies of Abraham Lincoln, Louis Pasteur, Sitting Bull, George Washington Carver, Marie Curie, Albert Einstein, Golda Meir, Jackie Robinson, Sally Ride).",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.4.3,Understand how limits on resources affect production and consumption (what to produce and what to consume).,History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.4.2,Understand the role and interdependence of buyers (consumers) and sellers (producers) of goods and services.,History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.4.1,"Describe food production and consumption long ago and today, including the roles of farmers, processors, distributors, weather, and land and water resources.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.4,Students understand basic economic concepts and their individual roles in the economy and demonstrate basic economic reasoning skills.,History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.3.2,"Describe the ways in which groups and nations interact with one another to try to resolve problems in such areas as trade, cultural contacts, treaties, diplomacy, and military force.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.3.1,"Explain how the United States and other countries make laws, carry out laws, determine whether laws have been violated, and punish wrongdoers.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.3,Students explain governmental institutions and practices in the United States and other countries.,History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.2.4,"Compare and contrast basic land use in urban, suburban, and rural environments in California.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.2.3,"Locate on a map where their ancestors live(d), telling when the family moved to the local community and how and why they made the trip.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.2.2,"Label from memory a simple map of the North American continent, including the countries, oceans, Great Lakes, major rivers, and mountain ranges. Identify the essential map elements: title, legend, directional indicator, scale, and date.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.2.1,"Locate on a simple letter-number grid system the specific locations and geographic features in their neighborhood or community (e.g., map of the classroom, the school).",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
2.2,"Students demonstrate map skills by describing the absolute and relative locations of people, places, and environments.",History-Social Science,Grade_02,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
