Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
2.G.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.G.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.G.1,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.G.A,Reason with shapes and their attributes.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
3CBACF8040CE466FAD28874991F53854,Geometry,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.9,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.D,Represent and interpret data.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.8,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.7,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m. Know relationships of time (e.g., minutes in an hour, days in a month, weeks in a year).",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.C,Work with time and money.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, …, and represent whole-number sums and differences within 100 on a number line diagram.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.5,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.B,Relate addition and subtraction to length.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.3,"Estimate lengths using units of inches, feet, centimeters, and meters.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.1,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.MD.A,Measure and estimate lengths in standard units.,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
E416AA4FDD764171B24738F9A08A97A3,Measurement and Data,Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
2.NBT.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations.",Mathematics,Grade_02,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/ccssmathstandardaug2013.pdf
