Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
2-PS1-4,Construct an argument with evidence that some changes caused by heating or cooling can be reversed and some cannot.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-PS1-3,Make observations to construct an evidence-based account of how an object made of a small set of pieces can be disassembled and made into a new object.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-PS1-2,Analyze data obtained from testing different materials to determine which materials have the properties that are best suited for an intended purpose.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-PS1-1,Plan and conduct an investigation to describe and classify different kinds of materials by their observable properties.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-PS1,Matter and its Interactions,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS2-3,Obtain information to identify where water is found on Earth and that it can be solid or liquid.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS2-2,Develop a model to represent the shapes and kinds of land and bodies of water in an area.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS2-1,Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS2,Earth's Systems,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS1-1,Use information from several sources to provide evidence that Earth events can occur quickly or slowly.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-ESS1,Earth's Place in the Universe,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-LS4-1,Make observations of plants and animals to compare the diversity of life in different habitats.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-LS4,Biological Evolution: Unity and Diversity,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-LS2-2,Develop a simple model that mimics the function of an animal in dispersing seeds or pollinating plants.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-LS2-1,Plan and conduct an investigation to determine if plants need sunlight and water to grow.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
2-LS2,"Ecosystems: Interactions, Energy, and Dynamics",Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.",Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.",Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1,Engineering Design,Science,Grade_02,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
EP&C-5-b,"The process of making decisions about resources and natural systems, and how the assessment of social, economic, political, and environmental factors has changed over time.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5-a,There is a spectrum of what is considered in making decisions about resources and natural systems and how those factors influence decisions.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5,PRINCIPLE V: Decisions Affecting Resources and Natural Systems are Complex and Involve Many Factors Decisions affecting resources and natural systems are based on a wide range of considerations and decision‐making processes. ,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-c,"The capacity of natural systems to adjust to human-caused alterations depends on the nature of the system as well as the scope, scale, and duration of the activity and the nature of its byproducts",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-b,"The byproducts of human activity are not readily prevented from entering natural systems and may be beneficial, neutral, or detrimental in their effect.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-a,The effects of human activities on natural systems are directly related to the quantities of resources consumed and to the quantity and characteristics of the resulting byproducts.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4,PRINCIPLE IV: There are no Permanent or Impermeable Boundaries that Prevent Matter from Flowing Between Systems The exchange of matter between natural systems and human societies affects the long‐ term functioning of both. ,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-c,Human practices can alter the cycles and processes that operate within natural systems.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-b,Human practices depend upon and benefit from the cycles and processes that operate within natural systems.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-a,Natural systems proceed through cycles and processes that are required for their functioning.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3,"PRINCIPLE III: Natural Systems Change in Ways that People Benefit from and can Influence Natural systems proceed through cycles that humans depend upon, benefit from and can alter. ",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-d,"The legal, economic, and political systems that govern the use and management of natural systems directly influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-c,"The expansion and operation of human communities influences the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-b,"Methods used to extract, harvest, transport, and consume natural resources influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-a,"Direct and indirect changes to natural systems due to the growth of human populations and their consumption rates influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2,"PRINCIPLE II: People Influence Natural Systems The long‐term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies. ",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-1-c,"That the quality, quantity, and reliability of the goods and ecosystem services provided by natural systems are directly affected by the health of those systems.",Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-1-b,The ecosystem services provided by natural systems are essential to human life and to the functioning of our economies and cultures.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-1-a,The goods produced by natural systems are essential to human life and to the functioning of our economies and cultures.,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-1,PRINCIPLE I: People Depend on Natural Systems The continuation and health of individual human lives and of human communities and societies depend on the health of the natural systems that provide essential goods and ecosystem services. ,Science,Grade_02,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
