Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
,,World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"6. Usan las palabras y las frases que han aprendido
a través de conversaciones, al leer y al escuchar
cuando se les lee, o al responder a los textos,
incluyendo el uso de adjetivos y adverbios para
describir (ejemplo: Cuando otros niños están
contentos yo también me siento contento).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"b. Distinguen los matices de significado entre
verbos estrechamente relacionados (ejemplo:
tirar, aventar, lanzar) y adjetivos estrechamente
relacionados (ejemplo: delgado, esbelto, flaco).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"a. Identifican las conexiones en la vida real entre las
palabras y su uso (ejemplo: describen alimentos
que son picantes o jugosos)",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"5. Demuestran comprensión de relación entre las
palabras y sus matices de significado. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"e. Usan glosarios y diccionarios básicos, tanto
impresos como digitales, para determinar o aclarar
el significado de palabras y frases.",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"d. Usan el conocimiento del significado de palabras
simples para predecir el significado de palabras
compuestas (ejemplo: pasar, pasatiempo; sacar,
sacapuntas, bien, bienvenidos).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"c. Usan una palabra de raíz conocida como clave
para entender el significado de una palabra
desconocida con la misma raíz (ejemplo: adición,
adicional).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"b. Determinan el significado de una nueva palabra
formada cuando un prefijo conocido se le añade
a una palabra conocida (ejemplo: feliz-infeliz,
contar-recontar).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"a. Usan el contexto de la oración para entender el
significado de una palabra o frase. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"4. Determinan y aclaran el significado de palabras y
frases desconocidas y de palabras de significados
múltiples en base a la lectura y el contenido
académico de segundo grado, eligiendo con
flexibilidad entre una serie de estrategias.",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,Adquisición y uso de vocabulario,World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,a. Comparan el uso formal e informal del español.,World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"3. Usan el conocimiento del lenguaje y sus normativas
al escribir, hablar, leer o escuchar. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,Conocimiento del lenguaje ,World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"g. Categorizan palabras de acuerdo con su acento
tónico (agudas, graves y esdrújulas) y emplean el
acento escrito (acento ortográfico) en palabras ya
conocida",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
, Acentuación ,World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"f. Utilizan el guión corto para separar las sílabas de
una palabra (ma-ri-po-sa); para indicar nivel, gama o
intervalos (enero-marzo; de 1:00 p. m. - 3:00 p. m.)
y el guión largo para introducir un diálogo.",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"e. Consultan materiales de referencia, incluyendo
diccionarios básicos, según sea necesario
para revisar y corregir la ortografía o consultar
traducciones.",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"d. Generalizan los patrones ortográficos al escribir
y forman y usan sustantivos que en plural sufren
cambios ortográficos (feliz g felices;
carácter g caracteres). ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"c. Usan las contracciones del y al correctamente
y reconocen la preposición “de” para señalar
posesión. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"b. Usan dos puntos y aparte en el saludo de una carta;
y una coma en la despedida de una carta escrita
en español. Reconocen que se usa una coma en el
saludo y la despedida de una carta en inglés. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"a. Emplean la mayúscula al escribir nombres propios,
días festivos, marcas de productos, nombres
geográficos y sólo en la primera letra de títulos de
libros, películas, obras teatrales, etc. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"2. Demuestran al escribir dominio de las normativas del
español para el uso de las letras mayúsculas, signos
de puntuación y ortografía. ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"f. Producen, elaboran y reorganizan oraciones
completas, simples y compuestas (ejemplo: El niño
vio la película. El niño pequeño vio la película. La
película que vio el niño pequeño fue interesante.).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"e. Usan adjetivos y adverbios y eligen entre ellos
dependiendo de lo que se va a modificar. (ejemplo:
rápido, rápidamente, lento, lentamente).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"d. Forman y usan el tiempo pasado de los verbos
irregulares que se utilizan con frecuencia (ejemplo:
decir-dijo, hacer-hizo, poner-puso, saber-supimos).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"c. Usan los pronombres reflexivos (ejemplo:
Me lavo las manos. Nos cansamos mucho. Se
sienten contentos hoy).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
," b. Usan sustantivos comunes que forman el
plural en forma irregular cambiando z por c o el
acento escrito u ortográfico (ejemplo: luz-luces;
lápiz-lápices; pez-peces; corazón-corazones;
joven-jóvenes). ",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"a. Usan sustantivos colectivos (ejemplo:
la gente, el grupo).",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
,"1. Demuestran dominio de las normativas de la
gramática del español y su uso al escribir y al hablar.",World Languages - Spanish,Grade_02,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade2.pdf
