Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
3.VA:Cn11,Recognize that responses to art change depending on knowledge of the time and place in which it was made.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cn10,Develop a work of art based on observations of surroundings.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Connecting,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re9,Evaluate an artwork based on given criteria.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re9, Apply Criteria to Evaluate Artistic Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re8,"Interpret art by analyzing use of media to create subject matter, characteristics of form, and mood.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re8, Interpret Intent and Meaning in Artistic Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re7.2,Determine messages communicated by an image.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re7.1,Speculate about processes an artist uses to create a work of art.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Re7,Perceive and Analyze Artistic Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Responding,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr6,Investigate and explain how and where different cultures record and illustrate stories and history of life through art.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr6,Convey Meaning Through the Presentation of Artistic Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr5,"Identify exhibit space and prepare works of art, including artists’ statements, for presentation.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr5,Develop and Refine Artistic Techniques and Work for Presentation,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr4,"Investigate and discuss possibilities and limitations of spaces, including electronic, for exhibiting artwork.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Pr4," Select, Analyze, and Interpret Artistic Work for Presentation",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
,Presenting,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr3,"Discuss, reflect, and add details to enhance an artwork’s emerging meaning.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr3,Refine and Complete Artistic Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr2.3,"Individually or collaboratively construct representations, diagrams, or maps of places that are part of everyday life.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr2.2,"Demonstrate an understanding of the safe and proficient use of materials, tools, and equipment for a variety of artistic processes.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr2.1,Create personally satisfying artwork using a variety of artistic processes and materials.,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr2,Organize and Develop Artistic Ideas and Work,Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
3.VA:Cr1.2,"Apply knowledge of available resources, tools, and technologies to investigate personal ideas through the art-making process.",Arts (2019-),Grade_03,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
