Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
L.3.6,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.5c,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.5b,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.5a,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.5,Demonstrate understanding of word relationships and nuances in word meanings.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.4d,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases in all content areas.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.4c,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.4b,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.4a,Use sentence-level context as a clue to the meaning of a word or phrase.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.4,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
21312CDB681C4B509D02297F5B9AD71F,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.3b,Recognize and observe differences between the conventions of spoken and written standard English.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.3a,Choose words and phrases for effect.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
C11DB582C04B4CDB8AA72893F9088DA2,Knowledge of Language,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2g,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2f,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2e,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2d,Form and use possessives.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2c,Use commas and quotation marks in dialogue.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2b,Use commas in addresses.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2a,Capitalize appropriate words in titles.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1k,Use reciprocal pronouns correctly.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1j,"Write legibly in cursive or joined italics, allowing margins and correct spacing between letters in a word and words in a sentence.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1i,"Produce simple, compound, and complex sentences.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1h,Use coordinating and subordinating conjunctions.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1g,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1f,Ensure subject-verb and pronoun-antecedent agreement.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1e,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1d,Form and use regular and irregular verbs.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1c,"Use abstract nouns (e.g., childhood).",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1b,Form and use regular and irregular plural nouns.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1a,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
2E321E1A0D72466F87DDDA4CDF0AB7F7,Conventions of Standard English,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
16F165609D484DBB8D3FEA3700988449,Language Standards,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.6,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
84AF42D0831D4E9191D1908188A1D081,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
9E20375684E446EAB84445E771E0FC2E,Knowledge of Language,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),Grade_03,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
