Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
ELD.PII.3.7.Br,"Condense clauses in a variety of ways (e.g., through embedded clauses and other condensing as in, It's a plant. It's green and red. It's found in the tropical rain forest. → It's a green and red plant that's found in the tropical rain forest) to create precise and detailed sentences.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.7.Ex,"Condense clauses in a growing number of ways (e.g., through embedded clauses as in, It's a plant. It's found in the rain forest. → It's a green and red plant that's found in the tropical rain forest) to create precise and detailed sentences.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.7.Em,"Condense clauses in simple ways (e.g., changing: It's green. It's red. → It's green and red) to create precise and detailed sentences.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
366DF81E31814ABA83FCE98E6FA778DD,Condensing ideas,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.6.Br,"Combine clauses in a wide variety of ways (e.g., creating compound and complex sentences) to make connections between and join ideas, for example, to express cause/effect (e.g., The deer ran because the mountain lion approached them), to make a concession (e.g., She studied all night even though she wasn't feeling well), or to link two ideas that happen at the same time (e.g., The cubs played while their mother hunted).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.6.Ex,"Combine clauses in an increasing variety of ways (e.g., creating compound and complex sentences) to make connections between and join ideas, for example, to express cause/effect (e.g., The deer ran because the mountain lion came) or to make a concession (e.g., She studied all night even though she wasn't feeling well).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.6.Em,"Combine clauses in a few basic ways to make connections between and join ideas (e.g., creating compound sentences using and, but, so).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
F548BAB7561647D3AE42A91B48DF5393,Connecting ideas,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
10D06C129261406C8561A751DC2A5936,Connecting and Condensing Ideas,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.5.Br,"Expand sentences with adverbials (e.g., adverbs, adverb phrases, prepositional phrases) to provide details (e.g., time, manner, place, cause, and the like) about a range of familiar and new activities or processes (e.g., They worked quietly all night in their room).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.5.Ex,"Expand sentences with adverbials (e.g., adverbs, adverb phrases, prepositional phrases) to provide details (e.g., time, manner, place, cause, and the like) about a familiar or new activity or process (e.g., They worked quietly; they ran across the soccer field).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.5.Em,"Expand sentences with adverbials (e.g., adverbs, adverb phrases, prepositional phrases) to provide details (e.g., time, manner, place, cause, and the like) about a familiar activity or process (e.g., They walked to the soccer field).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
D747CF8E8E31468DA97AB390D120EA78,Modifying to add details,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.4.Br,"Expand noun phrases in a variety of ways (e.g., adding comparative/superlative adjectives to noun phrases, simple clause embedding) in order to enrich the meaning of sentences and add details about ideas, people, things, and the like.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.4.Ex,"Expand noun phrases in a growing number of ways (e.g., adding comparative/superlative adjectives to nouns) in order to enrich the meaning of sentences and add details about ideas, people, things, and the like.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.4.Em,"Expand noun phrases in simple ways (e.g., adding an adjective to a noun) in order to enrich the meaning of sentences and add details about ideas, people, things, and the like.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
44BFCEF6E88F46CFACB80A21CD44F16A,Using nouns and noun phrases,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.3.Br,"Use a variety of verb types (e.g., doing, saying, being/having, thinking/feeling) and verb tenses appropriate to the text type and discipline to convey time (e.g., simple present for a science description, simple future to predict).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.3.Ex,"Use a growing number of verb types (e.g., doing, saying, being/having, thinking/feeling) and verb tenses appropriate to the text type and discipline to convey time (e.g., simple past for retelling, simple present for a science description).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.3.Em,"Use frequently used verbs, different verb types (e.g., doing, saying, being/having, thinking/feeling), and verb tenses appropriate to the text type and discipline to convey time (e.g., simple past for recounting an experience).",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
11AA493358EE4D2B9EB29AE279F28E72,Using verbs and verb phrases,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
83FA60814FEB4997B53270BF0436DCA4,Expanding and Enriching Ideas,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2b.Br,"Apply increasing understanding of how ideas, events, or reasons are linked throughout a text using an increasing variety of connecting and transitional words or phrases (e.g., for example, afterward, first/next/last) to comprehending texts and writing cohesive texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2a.Br,"Apply increasing understanding of language resources that refer the reader back or forward in text (e.g., how pronouns or synonyms refer back to nouns in text) to comprehending and writing cohesive texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2b.Ex,"Apply growing understanding of how ideas, events, or reasons are linked throughout a text using a variety of connecting words or phrases (e.g., at the beginning/end, first/next) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2a.Ex,"Apply growing understanding of language resources that refer the reader back or forward in text (e.g., how pronouns refer back to nouns in text) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2b.Em,"Apply basic understanding of how ideas, events, or reasons are linked throughout a text using everyday connecting words or phrases (e.g., then, next) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.2a.Em,"Apply basic understanding of language resources that refer the reader back or forward in text (e.g., how pronouns refer back to nouns in text) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
F10E5C273A824042B349FACF5CB56001,Understanding cohesion,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.1.Br,"Apply understanding of how different text types are organized to express ideas (e.g., how a story is organized sequentially with predictable stages versus how opinion/arguments are structured logically, grouping related ideas) to comprehending texts and writing cohesive texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.1.Ex,"Apply understanding of how different text types are organized to express ideas (e.g., how a story is organized sequentially with predictable stages) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.3.1.Em,"Apply understanding of how different text types are organized to express ideas (e.g., how a story is organized sequentially) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
9E5E00115732450B8B92466E6CA7EF94,Understanding text structure,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
A04102DB7A834E00A38B6120D3ECDBB4,Structuring Cohesive Texts,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
4AD12A3BA67B437FB70B595538941C0D,Learning About How English Works,English Language Development (2012-),Grade_03,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
