Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
8.2.P,Encourage others to promote a healthy environment.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.P,Support others in making positive health choices.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F90CB6C0DFE30131918068A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.P,"Demonstrate ways to reduce, reuse, and recycle at home, at school, and in the community.",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.P,Evaluate ways to prevent the transmission of communicable diseases.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F90BDCE0DFE30131917D68A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.1.P,Set a short-term goal for positive health practices.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F90B3E40DFE30131917B68A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.P,Use a decision-making process to reduce the risk of communicable disease or illness.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F90A8FF0DFE30131917968A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.P,Demonstrate refusal skills to avoid the spread of disease.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F909FE90DFE30131917768A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.2.P,Describe how to access help when feeling threatened.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.P,"Recognize individuals who can assist with health-related issues and potentially life-threatening health conditions (e.g., asthma episodes or seizures).",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F9093D70DFE30131917468A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
2.1.P,"Identify how culture, family, friends, and media influence positive health practices.",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F908B090DFE30131917268A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.6.P,"Discuss how reducing, recycling, and reusing products make for a healthier environment.",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.P,Describe how a healthy environment is essential to personal and community health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.P,"Identify life-threatening conditions (e.g., heart attacks, asthma attacks, poisoning).",Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.P,Identify positive health practices that reduce illness and disease.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.P,Describe how bacteria and viruses affect the body.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.P,Examine the difference between communicable and noncommunicable diseases.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F906C900DFE30131916B68A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F9066C50DFE30131916A68A86D17958E,Personal and Community Health,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.3.M,Demonstrate the ability to support and respect people with differences.,Health (2008-),Grade_03,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
