Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
3.5.4,"Discuss the relationship of students' ""work"" in school and their personal human capital.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.5.3,Understand that individual economic choices involve trade-offs and the evaluation of benefits and costs.,History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.5.2,"Understand that some goods are made locally, some elsewhere in the United States, and some abroad.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.5.1,"Describe the ways in which local producers have used and are using natural resources, human resources, and capital resources to produce goods and services in the past and the present.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.5,Students demonstrate basic economic reasoning skills and an understanding of the economy of the local region.,History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.6,"Describe the lives of American heroes who took risks to secure our freedoms (e.g., Anne Hutchinson, Benjamin Franklin, Thomas Jefferson, Abraham Lincoln, Frederick Douglass, Harriet Tubman, Martin Luther King, Jr.).",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.5,"Describe the ways in which California, the other states, and sovereign American Indian tribes contribute to the making of our nation and participate in the federal system of government.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.4,"Understand the three branches of government, with an emphasis on local government.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.3,"Know the histories of important local and national landmarks, symbols, and essential documents that create a sense of community among citizens and exemplify cherished ideals (e.g., the U.S. flag, the bald eagle, the Statue of Liberty, the U.S. Constitution, the Declaration of Independence, the U.S. Capitol).",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.2,"Discuss the importance of public virtue and the role of citizens, including how to participate in a classroom, in the community, and in civic life.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4.1,"Determine the reasons for rules, laws, and the U.S. Constitution; the role of citizenship in the promotion of rules and laws; and the consequences for people who violate rules and laws.",History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
3.4,Students understand the role of rules and laws in our daily lives and the basic structure of the U.S. government.,History-Social Science,Grade_03,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
