Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
3-5-ETS1-3,Plan and carry out fair tests in which variables are controlled and failure points are considered to identify aspects of a model or prototype that can be improved.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-5-ETS1-2,Generate and compare multiple possible solutions to a problem based on how well each is likely to meet the criteria and constraints of the problem.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-5-ETS1-1,"Define a simple design problem reflecting a need or a want that includes specified criteria for success and constraints on materials, time, or cost.",Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-5-ETS1,Engineering Design,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-PS2-4,Define a simple design problem that can be solved by applying scientific ideas about magnets.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-PS2-3,Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-PS2-2,Make observations and/or measurements of an object's motion to provide evidence that a pattern can be used to predict future motion.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-PS2-1,Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-PS2,Motion and Stability: Forces and Interactions,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-ESS3-1,Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-ESS3,Earth and Human Activity,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-ESS2-2,Obtain and combine information to describe climates in different regions of the world.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-ESS2-1,Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-ESS2,Earth's Systems,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS4-4,Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS4-3,"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all.",Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS4-2,"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing.",Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS4-1,Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS4,Biological Evolution: Unity and Diversity,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS3-2,Use evidence to support the explanation that traits can be influenced by the environment.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS3-1,Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS3,Heredity: Inheritance and Variation of Traits,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS2-1,Construct an argument that some animals form groups that help members survive.,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS2,"Ecosystems: Interactions, Energy, and Dynamics",Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS1-1,"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death.",Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
3-LS1,From Molecules to Organisms: Structures and Processes,Science,Grade_03,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
EP&C-5-b,"The process of making decisions about resources and natural systems, and how the assessment of social, economic, political, and environmental factors has changed over time.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5-a,There is a spectrum of what is considered in making decisions about resources and natural systems and how those factors influence decisions.,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-5,PRINCIPLE V: Decisions Affecting Resources and Natural Systems are Complex and Involve Many Factors Decisions affecting resources and natural systems are based on a wide range of considerations and decision‐making processes. ,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-c,"The capacity of natural systems to adjust to human-caused alterations depends on the nature of the system as well as the scope, scale, and duration of the activity and the nature of its byproducts",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-b,"The byproducts of human activity are not readily prevented from entering natural systems and may be beneficial, neutral, or detrimental in their effect.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4-a,The effects of human activities on natural systems are directly related to the quantities of resources consumed and to the quantity and characteristics of the resulting byproducts.,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-4,PRINCIPLE IV: There are no Permanent or Impermeable Boundaries that Prevent Matter from Flowing Between Systems The exchange of matter between natural systems and human societies affects the long‐ term functioning of both. ,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-c,Human practices can alter the cycles and processes that operate within natural systems.,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-b,Human practices depend upon and benefit from the cycles and processes that operate within natural systems.,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3-a,Natural systems proceed through cycles and processes that are required for their functioning.,Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-3,"PRINCIPLE III: Natural Systems Change in Ways that People Benefit from and can Influence Natural systems proceed through cycles that humans depend upon, benefit from and can alter. ",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-d,"The legal, economic, and political systems that govern the use and management of natural systems directly influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-c,"The expansion and operation of human communities influences the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-b,"Methods used to extract, harvest, transport, and consume natural resources influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2-a,"Direct and indirect changes to natural systems due to the growth of human populations and their consumption rates influence the geographic extent, composition, biological diversity, and viability of natural systems.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-2,"PRINCIPLE II: People Influence Natural Systems The long‐term functioning and health of terrestrial, freshwater, coastal and marine ecosystems are influenced by their relationships with human societies. ",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
EP&C-1-c,"That the quality, quantity, and reliability of the goods and ecosystem services provided by natural systems are directly affected by the health of those systems.",Science,Grade_03,1-12,,California,,https://www.cde.ca.gov/ci/sc/cf/scifwprepubversion.asp
