Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
5.G.2,"Students anticipate consequences of their own and other’s actions with increasing accuracy. Students identify the impact of different activities and opportunities on themselves, their relationships, and learning contexts.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.F.2,Students know and regularly practice decision-making strategies and use critical thinking to identify choices that result in the best outcomes for all involved.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Agency,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.E.2,"Students develop an understanding of
the common good and how it contributes to collective well-being. Students explore the benefits and responsibilities of democratic citizenship.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.D.1,Students understand physical and emotional safety and demonstrate safe choices in the learning environment. Students actively consider the physical and emotional safety of others. Students explore how safety can be tied to identity.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Belonging,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.C.2,Students generate multiple feasible solutions for personal and social problems and identify when help is needed to solve a problem.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.B.2,Students demonstrate honesty and integrity in their interactions with others and insist on fairness from peers and adults in all contexts. Students begin to understand and explore the consequences of unethical actions to our planet.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.A.2,Students understand the importance of curiosity and practice staying open minded when meeting diverse groups of people or in new situations.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Identity,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
4.H.2,"Students recognize all people have the right to human dignity and justice. Students demonstrate upstander strategies, such as distraction and removing targets from bullying situations.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.G.2,Students can communicate assertively and respectfully. Students advocate for their needs and compromise with others.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.F.2,"Students practice acknowledging their role in a conflict, how others were hurt, what they could do differently in the future, and how to repair harm and move forward constructively.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.E.2,Students use constructive strategies to communicate their perspective and listen openly to the perspectives of others to solve a problem.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Agency,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.D.2,Students celebrate differences in other cultures. Students identify and demonstrate strategies to show respect for other cultures.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.C.2,Students identify characteristics of friends and types and levels of friendship. Students identify why they are grateful for the people in their lives and proactively show gratitude in different ways.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Belonging,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.B.2,Students understand that leadership skills can be learned and explore being leaders in ways that are important to them.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.A.2,Students show progress in discerning and resisting inappropriate requests and demonstrate multiple strategies to navigate negative social pressure.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Identity,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
3.G.2,Students explore the importance and power of community participation and service. Students collaborate with others to identify ways to contribute productively to their learning community.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.F.2,"Students can work cooperatively in a diverse group of peers. Students identify their own basic rights and the rights of others. Students begin to understand how bias, prejudice, stereotypes, and racism can play a role in how people act and make decisions. Students can give examples of how these issues can disrupt or harm groups in our society.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Agency,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.E.2,Students demonstrate acceptance and inclusion of those who are different from themselves and value the contributions of the members of a diverse group.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.D.2,"Students identify appropriate, trusted people to seek support from based on their specific needs and recognize ways they can support others.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.C.2,"Students recognize healthy and safe boundaries in interactions with others in their family, learning community, and beyond. Students identify strategies to build and maintain trust.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Belonging,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.B.2,Students name ways people’s identities and experiences may lead to different emotional reactions. Students show curiosity about and strive to take the perspective of others based on what they know about that person or group. Students show empathy and compassion for others.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.A.2,Students identify opinions versus facts about people and groups who are similar and different from themselves. Students name specific strengths and assets of individuals from diverse groups.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Identity,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
2.H.2,"Students practice managing their own time, organizing their materials, and gathering what is needed for a task or activity.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.G.2,"Students use personally relevant strategies, like self-talk, to get and stay motivated. Students can identify distractions and know and apply simple solutions to overcome them.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.F.2,Students identify short- and longer-term personal and collective goals that are meaningful to them and demonstrate strategies that work for them to achieve those goals.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Agency,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.E.2,Students perceive social cues and resist impulses in order to maintain the explicit or implied emotional and physical boundaries of others.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.D.2,Students welcome constructive feedback and understand and use varied strategies to give feedback to peers.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Belonging,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.C.2,"Students describe different types of adversity and what they can learn from others’ stories of overcoming difficult experiences, resilience, and remaining hopeful in the face of challenges (e.g., current and historical characters).",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.B.2,Students know and use simple stress management practices. Students engage in mental and physical health promoting activities in ways that are within their control.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.A.2,"Students practice self-monitoring and harness and express their emotions in authentic and constructive ways by identifying, articulating, and using emotional regulation strategies that work for them. Students use diverse strategies to express themselves effectively in different social and cultural contexts.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Identity,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
1.H.2,Students are more accurate in their perceptions and gain confidence in their own thoughts and well-founded opinions but are open to trying and listening to new and different ideas.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.G.2,Students articulate their needs in constructive ways. Students begin to develop a sense of personal purpose and feel that their lives are important and meaningful.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.F.2,Students recognize how their emotions are information they can choose to harness and use. Students understand that there are no “bad” emotions and that their feeling states can be changed intentionally.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Agency,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.E.2,Students describe their roles and contributions in the different settings in which they participate. Students identify characteristics and habits they have and how they may affect others in their learning community.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.D.2,"Students are able to reflect on their own experiences of inclusion and
exclusion and of being excluded and
excluding others.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Belonging,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.C.2,"Students articulate their beliefs about topics that are important to them, their family, and their learning community.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.B.2,Students recognize the intensity of their emotions and can name increasingly complex emotions. Students identify when they feel stressed or anxious.,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.A.2,"Students understand how some aspects of their personal and social identity can change over time and be shaped by themselves, others, and their experiences. Students show confidence and pride in their identity without needing to feel superior to others.",Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Identity,Social-Emotional Learning,Grade_03,3-5,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
