Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
,"Ethical complications arise from the opportunities provided by computing. With the ease of sending and receiving copies of media on the Internet, in formats such as video, photos, and music, students consider the opportunities for unauthorized use, such as online piracy and disregard of copyrights. The license of a downloaded image or audio file may restrict modification, require attribution, or prohibit use entirely. ",Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
3-5.IC.23,Describe reasons creators might limit the use of their work.,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,Computing technologies enable global collaboration and sharing of ideas. Students solicit feedback from a diverse group of users and creators and explain how this input improves their computational artifacts.,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
3-5.IC.22,Seek and explain the impact of diverse perspectives for the purpose of improving computational artifacts.,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"The development and modification of computing technology is driven by people’s needs and wants and can affect groups differently. Students anticipate the needs and wants of diverse end users and propose ways to improve access and usability of technology, with consideration of potential perspectives of users with different backgrounds, ability levels, points of view, and disabilities. ",Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
3-5.IC.21,Propose ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,"New computing technologies are created and existing technologies are modified for many reasons, including to increase their benefits, decrease their risks, and meet societal needs. Students, with guidance from their teacher, discuss topics that relate to the history of computing technologies and changes in the world due to these technologies. Topics could be based on current news content, such as robotics, wireless Internet, mobile computing devices, GPS systems, wearable computing, and how social media has influenced social and political changes.",Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
3-5.IC.20,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,Impacts of Computing,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
,People communicate about their code to help others understand and use their programs. Explaining one's design choices gives others a better understanding of one's work. Students may explain their step-by-step process of creating a program in a presentation or demonstration of their personal code journals. They describe how comments within code organize thought and process during the develpment of the program.,Computer Science (2018-),Grade_04,3-5,,California,,https://www.cde.ca.gov/be/st/ss/computerscicontentstds.asp
