Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
ELD.PII.4.7.Br,"Condense clauses in a variety of ways (e.g., through various types of embedded clauses and other ways of condensing as in, There was a Gold Rush. It began in the 1850s. It brought a lot of people to California. → The Gold Rush that began in the 1850s brought a lot of people to California) to create precise and detailed sentences.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.7.Ex,"Condense clauses in an increasing variety of ways (e.g., through a growing number of embedded clauses and other condensing, as in, The dog ate quickly. The dog choked. → The dog ate so quickly that it choked) to create precise and detailed sentences.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.7.Em,"Condense clauses in simple ways (e.g., through simple embedded clauses, as in, The woman is a doctor. She helps children. → The woman is a doctor who helps children) to create precise and detailed sentences.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
A5409DDD76E941BD805DBFCAA226C706,Condensing ideas,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.6.Br,"Combine clauses in a wide variety of ways (e.g., creating complex sentences using a variety of subordinate conjunctions) to make connections between and join ideas, for example, to express cause/effect (e.g., Since the lion was at the waterhole, the deer ran away), to make a concession, or to link two ideas that happen at the same time (e.g., The cubs played while their mother hunted).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.6.Ex,"Combine clauses in an increasing variety of ways (e.g., creating complex sentences using familiar subordinate conjunctions) to make connections between and join ideas in sentences, for example, to express cause/effect (e.g., The deer ran because the mountain lion came) or to make a concession (e.g., She studied all night even though she wasn't feeling well).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.6.Em,"Combine clauses in a few basic ways to make connections between and join ideas in sentences (e.g., creating compound sentences using coordinate conjunctions, such as and, but, so).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
1C21D1EFCA3A489C9B0263A35D9AC0C2,Connecting ideas,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
0F3DF952F3FF482EA5ABEA3C21F92C17,Connecting and Condensing Ideas,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.5.Br,"Expand sentences with a variety of adverbials (e.g., adverbs, adverb phrases, prepositional phrases) to provide details (e.g., time, manner, place, cause, and so on) about a variety of familiar and new activities and processes (e.g., They worked quietly all night in their room).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.5.Ex,"Expand sentences with a growing variety of adverbials (e.g., adverbs, prepositional phrases) to provide details (e.g., time, manner, place, cause, and so on) about a familiar or new activity or process (e.g., They worked quietly. They ran across the soccer field).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.5.Em,"Expand sentences with familiar adverbials (e.g., basic prepositional phrases) to provide details (e.g., time, manner, place, cause, and so on) about a familiar activity or process (e.g., They walked to the soccer field).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
071A94636D444E389F199EF847E2D9F9,Modifying to add details,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.4.Br,"Expand noun phrases in an increasing variety of ways (e.g., adding general academic adjectives and adverbs to noun phrases or more complex clause embedding) in order to enrich the meaning of sentences and add details about ideas, people, things, and so on.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.4.Ex,"Expand noun phrases in a variety of ways (e.g., adding adjectives to noun phrases or simple clause embedding) in order to enrich the meaning of sentences and add details about ideas, people, things, and so on.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.4.Em,"Expand noun phrases in simple ways (e.g., adding an adjective) in order to enrich the meaning of sentences and add details about ideas, people, things, and so on.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
BF215AC831344E91BEB2E21EC6DC28EE,Using nouns and noun phrases,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.3.Br,"Use various verbs/verb types (e.g., doing, saying, being/having, thinking/feeling) and tenses appropriate to the task and text type (e.g., timeless present for science explanation, mixture of past and present for historical information report) for a variety of familiar and new topics.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.3.Ex,"Use various verbs/verb types (e.g., doing, saying, being/having, thinking/feeling) and tenses appropriate to the task, text type, and discipline (e.g., simple past for retelling, timeless present for science explanation) for an increasing variety of familiar and new topics.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.3.Em,"Use various verbs/verb types (e.g., doing, saying, being/having, thinking/feeling) and tenses appropriate to the text type and discipline (e.g., simple past for recounting an experience) for familiar topics.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
9940F2D6E74E4BE8B616A63388D8AB38,Using verbs and verb phrases,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
96FF5A9760D94864B01386938B391DB8,Expanding and Enriching Ideas,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2b.Br,"Apply increasing understanding of how ideas, events, or reasons are linked throughout a text using an increasing variety of academic connecting and transitional words or phrases (e.g., for instance, in addition, at the end) to comprehending texts and writing cohesive texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2a.Br,"Apply increasing understanding of language resources for referring the reader back or forward in text (e.g., how pronouns, synonyms, or nominalizations refer back to nouns in text) to comprehending texts and writing cohesive texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2b.Ex,"Apply growing understanding of how ideas, events, or reasons are linked throughout a text using a variety of connecting words or phrases (e.g., since, next, for example) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2a.Ex,"Apply growing understanding of language resources for referring the reader back or forward in text (e.g., how pronouns or synonyms refer back to nouns in text) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2b.Em,"Apply basic understanding of how ideas, events, or reasons are linked throughout a text using everyday connecting words or phrases (e.g., first, yesterday) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.2a.Em,"Apply basic understanding of language resources for referring the reader back or forward in text (e.g., how pronouns refer back to nouns in text) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
25C74C386D1340F9BC3B895576211B14,Understanding cohesion,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.1.Br,"Apply understanding of how different text types are organized to express ideas (e.g., how a narrative is organized sequentially with predictable stages versus how opinions/arguments are structured logically, grouping related ideas) to comprehending texts and writing cohesive texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.1.Ex,"Apply increasing understanding of how different text types are organized to express ideas (e.g., how a narrative is organized sequentially with predictable stages versus how an explanation is organized around ideas) to comprehending texts and writing texts with increasing cohesion.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.4.1.Em,"Apply understanding of how different text types are organized to express ideas (e.g., how a narrative is organized sequentially) to comprehending texts and writing basic texts.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
E463E688977249B1BDAE12589AE134FF,Understanding text structure,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
1A7879CAE12641B1BB47E46E4CBEC213,Structuring Cohesive Texts,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
B87D7D93AF214BF88C14FF874A18E3CE,Learning About How English Works,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12b.Br,"Select a variety of appropriate affixes for accuracy and precision (e.g., She's walking. I'm uncomfortable. They left reluctantly).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12a.Br,"Use a wide variety of general academic and domain-specific words, synonyms, antonyms, and figurative language to create precision and shades of meaning while speaking and writing.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12b.Ex,"Select a growing number of frequently used affixes for accuracy and precision (e.g., She walked. He likes…, I'm unhappy).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12a.Ex,"Use a growing number of general academic and domain-specific words, synonyms, and antonyms to create precision and shades of meaning while speaking and writing.",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12b.Em,"Select a few frequently used affixes for accuracy and precision (e.g., She walks, I'm unhappy).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.12a.Em,Use a select number of general academic and domain-specific words to create precision while speaking and writing.,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
2EE0A32121F34609BD9C2A170777C191,Selecting and applying varied and precise vocabulary and language structures to effectively convey ideas,English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.4.11b.Br,"Express attitude and opinions or temper statements with nuanced modal expressions (e.g., probably/certainly, should/would) and phrasing (e.g., In my opinion…).",English Language Development (2012-),Grade_04,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
