Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
F9765080DFE30131925568A86D17958E,Skills for this content area are not identified until grades seven and eight.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F975EBF0DFE30131925468A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.G,Describe ways people can protect themselves against serious bloodborne communicable diseases.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.G,Engage in behaviors that promote healthy growth and development during puberty,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F974CD00DFE30131925168A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.2.G,Develop plans to maintain personal hygiene during puberty.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.1.G,Identify steps to achieve and maintain a healthy and accurate body image.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F973C1B0DFE30131924E68A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.2.G,Analyze why it is safe to be a friend to someone who is living with HIV or AIDS.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.G,Describe the importance of identifying personal boundaries.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F972F630DFE30131924B68A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.3.G,Demonstrate refusal skills to protect personal boundaries.,Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.G,"Use healthy and respectful ways to express friendship, attraction, and affection.",Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.G,"Use effective communication skills to discuss with parents, guardians, and other trusted adults the changes that occur during puberty.",Health (2008-),Grade_05,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
