Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
07FF02415221427F8B125FA55683BA98,"Evaluate one's own research process and that of others in a respectful, cooperative, and productive way.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
729D6F379ECB4E129142155BEF15BC3D,"Appreciate a range of creative forms of expression (e.g., poetry, drama, film, literature, visual arts).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
6F23EED41C894110975BC9C6F545CA02,"Demonstrate a variety of methods to engage the audience when presenting information (e.g., voice modulation, gestures, questions).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
9949F6E3440644BB9EC2C027D7728080,Appreciate and respond to creative expressions of information:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
0358FB0A2B7F410ABB31BC0B5F7CE29C,Collaborate in person and through technology to identify problems and seek solutions.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
89AD9EF530D242398E334E8DEE31A655,"Pursue information related to personal well-being (e.g., career interests, community involvement, health matters, recreation).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
6CEADF837CEC41AE8728F5C0EDF7403D,Respect others' right to freedom of speech.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
BBF936532B534098BF247BE632B4924A,"Seek, produce, and share information:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C008EEE049CB4B06B8CF46774B90C46E,"Participate in activities that reflect interests, talents, or desires.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
EBA842AD4CD2464CAEA92608907216DC,"Read a good representation of grade-level-appropriate text, making progress toward the goal of reading one million words annually by grade eight (e.g., classic and contemporary literature, magazines, newspapers, online information).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
A4351F7F43374B12BE8855C187680850,"Read widely and use various media for information, personal interest, and lifelong learning:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D513BDE8E41F4658801960BA49344FA0,Students integrate information literacy skills into all areas of learning.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
63EB7732D7934D38A91C4FBF4F8B8498,"Choose an appropriate format to produce, communicate, and present information (e.g., written report, multimedia presentation, graphic presentation).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
5812B439751542559782F5487E2E90E5,"Use information and technology creatively to answer a question, solve a problem, or enrich understanding:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
3010EF4F27574886A03913D9559C1848,Analyze evidence to support a research question.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
31C8F2CFCE404DD592275944C93776B2,Draw conclusions and make informed decisions:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
EFA5E4A2BC8E49F9B156A6A9C1B2DDB4,"Understand how to provide limited copyright and authorize use of original works (e.g., Creative Commons).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
AB625BCBAE1E49FD9D3104E34F5F3B1A,Identify urban legends and hoaxes spread through e-mail and the Internet.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
A83A756755BF466BA0C528E380AA6856,"Identify what constitutes an ""uncomfortable"" interaction online and how to handle it effectively.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C03ED55D397148C08559004E2B3D1EEA,Practice ethical behavior in online interactions.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
BDE141B19CB0494F9E5F3834AB704912,"Identify types of programs that can damage a computer (e.g., virus, worm, Trojan horse, spyware).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
593ED9849D10421DB101F52B9D2AB388,Articulate and follow the rules for online use at school.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
0B7550C193A843ECAF51900493175A3D,"Recognize academic uses of social networking sites and understand how to use them safely (e.g., know how to adjust privacy settings).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
8426056C831444559AD5CB9D57BDDEC0,Practice safe handling of personal information online.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
CF376D8CF4104DCAB4DC3622B6BB60A5,"Demonstrate ethical, legal, and safe use of information in print, media, and online resources:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D3B5FF0EDD45452CAD5220FCD17AD2E5,Students use information.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
99F2CD4BE9D34C508F2EBC2039A81717,Evaluate whether the information is sufficient to answer the question.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
6B4569CEEDBF48AEB142A2EF882894F1,Consider the need for additional information:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C8DD691EE97447BC821F45D60DCBD66E,"Explain the authority, timeliness, and/or accuracy of specific information resources.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
35D5D3CA00254A78A198843F52B9136B,Recognize the importance of the publication date as an indicator of information currency.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
242B0341CB404F91856EA58728F27626,"Identify how visual language creates an impression for the viewer (e.g., angle, lighting, special effects, camera movement).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
F360727037854FC08154201AD066EE4E,"Assess the comprehensiveness, currency, credibility, authority, and accuracy of resources:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
1A39E92EFDC14E86887097332C06013D,Identify unsupported statements in resources used.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
ED66AA7903B447B9A7801E5EB84E39AA,Analyze evidence to support a research question.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D8C509ECA8384B468B75C8DCE0403011,"Analyze information from illustrations, photographs, charts, graphs, maps, tables, and captions.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
B7E96C6EAB5C4A4CAAB22053684AF072,Determine the relevance of the information:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C596DAD655A44B8DA451D419FB1D4CA2,Students evaluate information.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
B4AA5D40CEE44FFBB7AA4682ECC201F7,"Restate facts and details taken from an information source (print, nonprint, or digital) and organize those ideas for notetaking by using techniques such as outlining, webbing, flowcharting, and so on.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
776E595C1E5742568A49696BC2BA5DC7,Use several facts from visual or audio media to support a hypothesis.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D533F736DC2B4EEEA5A0B0B0E2E5642F,Accurately record citation information for each type of resource used.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
AFE04FA9E09F446D9AC4F965F8BE00C9,Understand and practice the basics of safe use of the Internet.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D09FBA4D906145B2A09B64FD08B2C164,"Retrieve information in a timely, safe, and responsible manner:",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
DA08BB7B1BCC4BA78DC9B0B5A4E2D68A,Describe how articles and publications in print may appear different digitally.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
E4C36048AB364764A5587F726E0FDB84,Identify information that supports the question but may not directly answer it.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
5C02789D94F54DFAB59CE0F1DEDE9D87,Identify the authority of an author or sponsoring organization in print and online materials.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
DC08978C42DC4F3A9952AB61ED140ACA,Use Boolean search techniques and other limiters or expanders to locate appropriate resources.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
863E932C47D0495497DD00C9042628C5,"Recognize that specialized encyclopedias differ in arrangement, emphasis, and indexing.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C6930BD8A672433FB5802F3BA09FB4EE,"Demonstrate knowledge of current applications available online (e.g., photo organizer, presentation generator, document creator, video conferencing).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
9BFFD84F43CE40169BC01E6A33459B44,"Compare and contrast the benefits of using open-source media, subscription databases, print media, and visual media to answer a research question.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
E6458DE84EEE4003ADF02281CC8E54E6,"Demonstrate use of outside sources to obtain information (e.g., Web sites of public libraries and colleges, online databases).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
83888E8CD3B64DAC986431D1C8790EDA,Demonstrate proper and responsible use of technology and other library materials.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
D7F4EE1947414CA888D0739B395D797A,"Use the World Wide Web, including search engines and browsers, to locate information.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
E6AB36427B944D1896019B91EA818F5E,"Use the automated library catalog to locate resources in other libraries and use interlibrary loan, if available.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
EEFF1FD5A6D04FC385E2B05212648616,Perform a search of the automated library catalog to locate resources for a particular purpose.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
4ED3CBD841444E20B9523645F643A6F4,"Identify and locate multiple sources of information that provide a broad view of research topics and questions (e.g., books, reference materials, online sources, periodicals).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
CA0051028B8C4C798B8B5CEA25EF61B2,Identify and locate a variety of resources online and in other formats by using effective search strategies:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
9CE2EC035FA04361B9542855C6FC7895,Demonstrate the ability to create effective searches in print and online by identifying appropriate key words.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
0A5E9C3FAB194E6AAA39121E65438608,"Identify related key words, terms, and synonyms for the research topic and information needed.",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
37E0E7E86F804D968719D2E36C3C76E5,Formulate appropriate questions:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
2E717F31F51C44869043386BDDE54229,"Determine and use appropriate ""pre-search"" strategies (e.g., brainstorming, recall of prior knowledge).",Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
F9AF0C3DEF8C47298C8002D456223E45,Recognize that accurate and comprehensive information is the basis of informed decision making.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
C470C17C9C9D42E799E4926E2038264C,Recognize the need for information:,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
F507B6085DBE44019C21891D1B475D92,Students access information.,Library (2010-),Grade_06,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
