Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
MU:Cn11,"Relate and demonstrate connections between music and societal, cultural, and historical contexts when creating, performing, and responding.",Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Cn10,"Relate and demonstrate how personal interests, knowledge, and ideas connect to choices and intent when creating, performing, and responding to music.",Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Cn10,Synthesize and Relate Knowledge and Personal Experiences to Make Art,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re9,Connecting,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re9,Apply collaboratively developed criteria to evaluate musical works or performances.,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re9,Apply Criteria to Evaluate Artistic Work,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re8,"Describe a personal interpretation of contrasting works and explain how creators’ and performers’ application of the elements of music and expressive qualities, within genres, cultures, and historical periods, convey expressive intent.",Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re8,Interpret Intent and Meaning in Artistic Work,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re7,"Identify and compare the context of music from a variety of genres, cultures, and historical periods.",Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re7,Classify and explain how the elements of music and expressive qualities relate to the structure of contrasting pieces.,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
MU:Re7,Analyze,Arts (2019-),Grade_07,,,California,,https://www.cde.ca.gov/be/st/ss/documents/caartsstandards.pdf
