Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
4F546495AD854ECC923AA45136FD4D32,"Understand the environmental, social, and economic impacts of decisions.",CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
948AB0BF500F49DA95053605367B8543,Employ valid and reliable research strategies.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
9598B40213AB49919786FED70494396A,Demonstrate creativity and innovation.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
F603B17D90984C94B71EBD0C10FD2B6B,Work productively in teams while integrating cultural and global competence.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
05313564F23B4D38872FE1396A070718,"Model integrity, ethical leadership, and effective management.",CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
B2E86A694BC04F10A403C7F324A36968,Act as a responsible citizen in the workplace and the community.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
BCA829EB214440D5A4D5F9FD2D78330D,Practice personal health and understand financial literacy.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
9D369ED732E44D69BF176C7B1A1F0F78,Utilize critical thinking to make sense of problems and persevere in solving them.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
75E65EFE8EFB43A58B1B50B99282CDC2,Apply technology to enhance productivity.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
9C666BDA7FFD4A52973E014407BE6604,Develop an education and career plan aligned with personal goals.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
F8864DA903B24E81995F32651D5E502D,"Communicate clearly, effectively, and with reason.",CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
685611448402446983741EA0B5A5A8ED,Apply appropriate technical skills and academic knowledge.,CTE (2013-),Grade_07,7-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/ctestdfrontpages.pdf
