Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
960CC8ABD3254A54841319E91EA1DA9B,"Support the need for state, federal, and international governing agencies to work together more to make the personal service career pathways a more seamless transition.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
B93C5325E77349C9B78F6F7847B47822,Justify rationale for changes in the personal services career pathway of the beauty industry to keep up with the market trends and needs of the population at-large.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
727874701F594ADAB9AEEFC7F3F779A6,Evaluate the current rules and regulations of California to propose new ideas or changes to the beauty industry to make it better for the future.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
D9331DD95AB8414CA9EFD49A74E4185B,Interpret existing laws and regulations to make proposal to state legislative members and state board officials on the scope of practice for the various career fields within the beauty industry.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
702E9AC49D3E40B2869962C89AE3379E,"Describe the current state, federal, and international scope of practice for the various careers in personal services.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
5A47F85605114F18BF778B8B48E1D6A8,"Assess the current state, federal, and international scope of practice, rules, and regulations required of professionals in the beauty industry.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
BE4E9A08DD7943949F4DE3647663B240,"Discriminate reputable distributors, manufacturers, and suppliers from those which are not as professional or reliable with their products/equipment.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
52C22661DFDC4686A77FFD0DB3ABE454,"Compare and contrast all distributors, manufacturers, and suppliers for the goods that they are promoting.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
48AFD4764B774D118755C95230212642,Appraise the value and worth of all equipment and products that are on the market for the beauty industry today.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
9C0C4AC01D384997B8422F222D9EE816,Interpret the rules and regulations that govern the personal service career pathways sector to limit your liability on services or treatment plans offered to clients.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
FBBD7F43D0464434AFD8F2197C26CFB3,"Explain the rational used when buying new technology, equipment or products to use in services or treatment plans for clients.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
7E22BA922C204BF081E08F30BC8ACB2C,"Evaluate the various equipment, supplies, products, and distributors, and manufacturers, and that represent the beauty industry.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
591C9B53F4764E3783079FF86817B58F,"Prepare a treatment protocol or client consultation form that is inclusive of helping the client obtain their needs and goals, and eliminating as many challenges for them as possible.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
AFAC81D4640A45AB9544687759832E4E,"Describe training all staff and personnel on the importance of assessing, re-evaluating, and changing the services or treatment plans offered to clients.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
3C7EB7645AF846C7BEEC777219A5E520,Create a treatment plan for each client individually to achieve their needs and goals of services or treatments being offered.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
83A1892631F44B9C84075BC7C0D70DF2,Generate professional treatment protocols to ensure the best possible outcomes for clients during services or treatments performed.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
BDCAD575394740CA9FB3ADB4D6CFA259,"Revise or modify treatment protocols for clients as needed based on re-evaluating their needs, goals, or achievements during services or treatment plans offered.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
C691B10E90244C34ADC41A22F68A53A2,"Synthesize the treatment protocols of clients to assess, re-evaluate, and change the services or treatment plans to reach their goals.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
F048D45FC7AA4572A4939F3708B9B75F,"Prepare for all of the possible legal, ethical, and financial responsibilities that exist in the beauty industry in California.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
883769A2FBF94FE2AF6BE81B0B706B6E,"Construct a training manual or protocol on legal, ethical, scope of practice, and financial responsibilities.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
2E57B2325D2F4023A597982B88069AA6,"Comply with all local, state and federal laws, rules, and regulations that affect the beauty industry at all times.",CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
CA8718E5201749CAA0401D7C11FB1692,Collect information on the scope of practice from other states to ensure that the industry is staying up on new trends and technology that should be available for trained and licensed professionals to offer their clients in California.,CTE (2013-),Grade_08,8-12,,California,2013,http://www.cde.ca.gov/ci/ct/sf/documents/fashioninterior.pdf
