Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
CCSS.ELA-LITERACY.RH.9-10.10,"By the end of grade 10, read and comprehend history/social studies texts in the grades 9-10 text complexity band independently and proficiently.",Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.010,Range of Reading and Level of Text Complexity,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.9,Compare and contrast treatments of the same topic in several primary and secondary sources.,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.8,Assess the extent to which the reasoning and evidence in a text support the author's claims.,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.7,"Integrate quantitative or technical analysis (e.g., charts, research data) with qualitative analysis in print or digital text. ",Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.07,Integration of Knowledge and Ideas,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.6,"Compare the point of view of two or more authors for how they treat the same or similar topics, including which details they include and emphasize in their respective accounts.",Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.5,Analyze how a text uses structure to emphasize key points or advance an explanation or analysis.,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.4,"Determine the meaning of words and phrases as they are used in a text, including vocabulary describing political, social, or economic aspects of history/social science. ",Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.04,Craft and Structure,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.3,Analyze in detail a series of events described in a text; determine whether earlier events caused later ones or simply preceded them.,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.2,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of how key events or ideas develop over the course of the text.,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.1,"Cite specific textual evidence to support analysis of primary and secondary sources, attending to such features as the date and origin of the information.",Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
CCSS.ELA-LITERACY.RH.9-10.01,Key Ideas and Details,Reading Standards for Literacy in History/Social Studies ,Grade_09,9-10,English Language Arts,Common Core State Standards,,http://www.corestandards.org/ELA-Literacy/RH/9-10/
