Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
GTK 2.a,"Analyze, compare, create, and compose shapes.",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
GTK 2,Correctly name shapes. ,Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
GTK 1.b,"Describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and
next to. ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
GTK 1.a,Describe objects in the environment using names of shapes.,Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
,"Geometry: Identify and describe shapes (squares, circles, triangles, rectangles, hexagons). ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
MDTK 3,"Classify objects into given categories; count the numbers of objects in each category and sort the categories
by count.",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
MDTK 2,"Directly compare two objects with a measurable attribute in common, to see which object has “more of / less
of” the attribute, and describe the difference. For example, directly compare the heights of two children and
describe one child as taller / shorter. ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
MDTK 1,"Describe measurable attributes of objects, such as length or weight. ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
,Measurement and Data,Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
OATK 3,Decompose numbers into pairs in more than one way.  ,Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
OATK 2,"Solve addition and subtraction word problems, and add and subtract, e.g., by using objects or drawings to
represent the problem.",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
OATK 1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds, (e.g., claps),
acting out situations, verbal explanations. ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
,"Operations and Algebraic Thinking: Understand addition as putting together and adding to, and understand subtraction as talking apart and taking from.",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
CCTK 6,"Compare numbers. Identify whether the number of objects in one group is greater than, less than, or equal
to the number of objects in another group, e.g., by using matching and counting strategies. ",Transitional Kindergarten California Common Core Standards (CCCS) ,TK,,,California,,https://www.murrieta.k12.ca.us/cms/lib/CA01000508/Centricity/Domain/24/TK%20CCC%20Standards.pdf
