Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
K.VA:Cn11,Identify a purpose of an artwork.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Cn11,"Relate Artistic Ideas and Works with Societal, Cultural, and Historical Context to Deepen Understanding",Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Cn10,Create art that tells a story about a life experience.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Cn10,Synthesize and Relate Knowledge and personal Experiences to Make Art,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
,Connecting,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Re9,Explain reasons for selecting a preferred artwork.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Re9,Apply Criteria to Evaluate Artistic Work,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Re8,Interpret art by identifying subject matter and describing relevant details.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Re8,Interpret Intent and meaning in Artistic Work,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Re7.2,Describe what an image represents.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Re7.1,Identify uses of art within one’s personal environment.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Re7,Perceive and Analyze Artistic Work,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
,Responding,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Pr6,Explain what an art museum is and distinguish how an art museum is different from other buildings.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Pr6,Convey Meaning Through the Presentation of Artistic Work,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Pr5,Explain the purpose of a portfolio or collection.,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Pr5,Develop and Refine Artistic Techniques and Work for Presentation,Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA:Pr4,"Select art objects for personal portfolio and display, explaining why they were chosen.",Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
K.VA.Pr4,"Select, Analyze, Interpret Artistic Work for Presentation",Arts (2019-),TK,,,California,,https://www.cde.ca.gov/be/st/ss/vapacontentstds.asp
