Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
Later,"Reviews and reflects on the success of plans
to achieve goals",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Later,"Reviews and reflects on the success of plans
to achieve goals",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Middle,"Sets a longer-term goal (i.e., within a week)
and makes and carries out a multi-steр
plan on own or with peers to achieve it,
with adult support",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Middle,"Sets a longer-term goal (i.e., within a week)
and makes and carries out a multi-steр
plan on own or with peers to achieve it,
with adult support",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Earlier,"Sets a short-term goal (i.e., within one
to two days) and makes and carries out a
multi-step plan on own or with peers to
achieve it",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Earlier,"Sets a short-term goal (i.e., within one
to two days) and makes and carries out a
multi-step plan on own or with peers to
achieve it",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
,Extending,Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
,Extending,Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Later,"Extends a multi-step plan beyond the
initial goal on own or with peers",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
Later,"Extends a multi-step plan beyond the
initial goal on own or with peers",Early Childhood Development,TK,,,California,,https://airtable.com/appAqCJWFHZMaNUh2/tblGy4kx6tGuscLHj/viwE5G0UuqG8WME5q/recFP6CClwXIHh8mK/fldIxltCXshIi374r/att4BHJDCKcq7A1dM?blocks=hide
