Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
L.K.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.5d,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.5c,"Identify real-life connections between words and their use (e.g., note places at school that are colorful).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.5b,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.5a,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.5,"With guidance and support from adults, explore word relationships and nuances in word meanings.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.4b,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.4a,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
3F05B33ED09C4DA99B6E80D7181EE42C,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
26219C8E1792495A8360E3B80A5C1EA1,(Begins in grade 2),English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
C5BD5931E18646E4AF5264C47B940C8A,Knowledge of Language,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.2d,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.2c,Write a letter or letters for most consonant and short-vowel sounds (phonemes).,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.2b,Recognize and name end punctuation.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.2a,Capitalize the first word in a sentence and the pronoun I.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1f,Produce and expand complete sentences in shared language activities.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1e,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1d,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1c,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1b,Use frequently occurring nouns and verbs.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1a,Print many upper- and lowercase letters.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.K.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
6C37931EA5A2486FB594EF3AF042111C,Conventions of Standard English,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
912B951DD6EB4D92A91FF859805A786F,Language Standards,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.6,"Acquire and use accurately a range of general academic and domain-specific words and phrases sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when encountering an unknown term important to comprehension or expression.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases by using context clues, analyzing meaningful word parts, and consulting general and specialized reference materials, as appropriate.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
094621342F014D7491C2BF9825A5392E,Vocabulary Acquisition and Use,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
162699B6AA6941E38B682E3243C27474,Knowledge of Language,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
L.CCR.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
0DD1E61E5B454512B9A0C43CF396EC6C,Conventions of Standard English,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
D3D17853E3044883A00BC5DE9966E710,College and Career Readiness Anchor Standards for Language,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.6,"Speak audibly and express thoughts, feelings, and ideas clearly.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.5,Add drawings or other visual displays to descriptions as desired to provide additional detail.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.4,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
F4285C56DC24484FAE1EB712D021C1A0,Presentation of Knowledge and Ideas,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.3,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.2.a,Understand and follow one- and two-step oral directions.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.2,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.1.b,Continue a conversation through multiple exchanges.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.1.a,"Follow agreed-upon rules for discussions (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.K.1,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
6922F6F089DF40FABA8C337F0F95F25F,Comprehension and Collaboration,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
BF3AD5DABD334B0F8A56B0B664DB0BB4,Speaking and Listening Standards,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.6,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.5,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.4,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
20FF29D34BB448BB85367BA70C1A67D1,Presentation of Knowledge and Ideas,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.3,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.2,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
SL.CCR.1,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
CB61FC3444484E949547FB3CB12301EC,Comprehension and Collaboration,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
83AC9EB358B646D2B519B5D9DB91A53B,College and Career Readiness Anchor Standards for Speaking and Listening,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
43A639B980F64D239814AFD9CB886AA6,(Begins in grade 2),English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
FD5DEEAE7D1D46CF8CC03AB61131AEFB,Range of Writing,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
A9880D1F489A4545B4BE83C04C30648A,(Begins in grade 4),English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.8,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.7,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
A33272C34B96496196BED5DCD735A4A8,Research to Build and Present Knowledge,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.6,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.5,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
B31F892C44A94CCCB90AF6549E164E04,(Begins in grade 2),English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
7776800CD2A743F1812D869C1E6D78B2,Production and Distribution of Writing,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.3,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.2,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.K.1,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is…).",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
4762554F701D4794817A159B64BC59C2,Text Types and Purposes,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
BAEA67D57AB04EE49F5EF2A0120D4D31,Writing Standards,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
DD74C7FADBBC472698577892DA4C0FDE,Range of Writing,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.8,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.7,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
079F7980AB314696A63DFD5711253B5C,Research to Build and Present Knowledge,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.6,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.5,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
8CDE92DC65C842019CD829D96E42BA28,Production and Distribution of Writing,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.3,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.2,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
W.CCR.1,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence.",English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
7A3A5D3548D54B2BAF9479477B04F286,Text Types and Purposes,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
5FF660E861DE4F728665E9FE5C5457B5,College and Career Readiness Anchor Standards for Writing,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
RF.K.4,Read emergent-reader texts with purpose and understanding.,English Language Arts & Literacy (2010-),TK,,English Language Arts,California,2010,http://www.cde.ca.gov/be/st/ss/documents/finalelaccssstandards.pdf
