Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
CCSS.ELA-Literacy.L.K.6,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.5d,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.5c,"Identify real-life connections between words and their use (e.g., note places at school that are colorful).",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.5b,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).,English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.5a,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.5,"With guidance and support from adults, explore word relationships and nuances in word meanings.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.4b,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.4a,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.4,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.,English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
639B8E7D020747748EFF170A1A1FF01E,Vocabulary Acquisition and Use,English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
BC06C2DEF9AC42CB9AF51B6BCA01DEC1,(Begins in grade 2),English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
6D6939B7C5C7448D9F06CD6D65C89769,Knowledge of Language,English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
CCSS.ELA-Literacy.L.K.2d,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",English Language Arts,TK,,,Common Core State Standards,2010,http://www.corestandards.org/assets/CCSSI_ELA%20Standards.pdf
