Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
ELD.PII.K.6.Br,"Combine clauses in a wide variety of ways (e.g., rearranging complete simple sentences to form compound sentences) to make connections between and join ideas (e.g., The boy was hungry. The boy ate a sandwich. The boy was hungry so he ate a sandwich) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.6.Ex,"Combine clauses in an increasing variety of ways to make connections between and join ideas, for example, to express cause/effect (e.g., She jumped because the dog barked) in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.6.Em,"Combine clauses in a few basic ways to make connections between and join ideas (e.g., creating compound sentences using and, but, so) in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ACD927A163974FDF83894C284C95794C,Connecting ideas,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
CE2A821CA90B436AA945B7A8EE98384F,Connecting and Condensing Ideas,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.5.Br,"Expand simple and compound sentences with prepositional phrases to provide details (e.g., time, manner, place, cause) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.5.Ex,"Expand sentences with prepositional phrases to provide details (e.g., time, manner, place, cause) about a familiar or new activity or process in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.5.Em,"Expand sentences with frequently used prepositional phrases (such as in the house, on the boat) to provide details (e.g., time, manner, place, cause) about a familiar activity or process in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
3D4D4DF53E5F4433840FE855C170185B,Modifying to add details,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.4.Br,"Expand noun phrases in a wide variety of ways (e.g., adding a variety of adjectives to noun phrases) in order to enrich the meaning of phrases/sentences and add details about ideas, people, things, and so on, in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.4.Ex,"Expand noun phrases in a growing number of ways (e.g., adding a newly learned adjective to a noun) in order to enrich the meaning of sentences and add details about ideas, people, things, and so on, in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.4.Em,"Expand noun phrases in simple ways (e.g., adding a familiar adjective to describe a noun) in order to enrich the meaning of sentences and add details about ideas, people, things, and so on, in shared language activities guided by the teacher and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
8D78CDCB6F6E4D78BF07169D2C957685,Using nouns and noun phrases,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3b.Br,"Use a wide variety of verb tenses appropriate for the text type and discipline to convey time (e.g., simple present for a science description, simple future to predict) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3a.Br,"Use a wide variety of verbs and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3b.Ex,"Use a growing number of verb tenses appropriate for the text type and discipline to convey time (e.g., simple past tense for retelling, simple present for a science description) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3a.Ex,"Use a growing number of verbs and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3b.Em,"Use simple verb tenses appropriate for the text type and discipline to convey time (e.g., simple past for recounting an experience) in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.3a.Em,"Use frequently used verbs (e.g., go, eat, run) and verb types (e.g., doing, saying, being/having, thinking/feeling) in shared language activities guided by the teacher and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
87BE55D3C5014A6982F3EADDD7BB4F77,Using verbs and verb phrases,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
1135641AF6504157B0FBD304E1B88CD9,Expanding and Enriching Ideas,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.2.Br,"Apply understanding of how ideas, events, or reasons are linked throughout a text using a variety of connecting words or phrases (e.g., first/second/third, once, at the end) to comprehending texts and composing texts in shared language activities guided by the teacher, with peers, and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.2.Ex,"Apply understanding of how ideas, events, or reasons are linked throughout a text using a growing number of connecting words or phrases (e.g., next, after a long time) to comprehending texts and composing texts in shared language activities guided by the teacher, collaboratively with peers, and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.2.Em,"Apply basic understanding of how ideas, events, or reasons are linked throughout a text using more everyday connecting words or phrases (e.g., one time, then) to comprehending texts and composing texts in shared language activities guided by the teacher, with peers, and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
CBF4A2C90D6244DABE2B0B525E2DE33E,Understanding cohesion,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.1.Br,"Apply understanding of how different text types are organized predictably (e.g., a narrative text versus an informative text versus an opinion text) to comprehending texts and composing texts in shared language activities guided by the teacher, with peers, and independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.1.Ex,"Apply understanding of how different text types are organized to express ideas (e.g., how a story is organized sequentially with predictable stages versus how an informative text is organized by topic and details) to comprehending texts and composing texts in shared language activities guided by the teacher, collaboratively with peers, and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PII.K.1.Em,"Apply understanding of how text types are organized (e.g., how a story is organized by a sequence of events) to comprehending and composing texts in shared language activities guided by the teacher, with peers, and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
BD19C07C4C9843B790DF31970E8CD645,Understanding text structure,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
AFEE2D09CAF24BDBB5265645AB987AE9,Structuring Cohesive Texts,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
4B2CC8D3BDAF43D284BD1CF4072194B4,Learning About How English Works,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12b.Br,"Use a wide variety of general academic and domain-specific words, synonyms, antonyms, and non-literal language to create an effect (e.g., using the word suddenly to signal a change) or to create shades of meaning (e.g., The cat's fur was as white as snow) while speaking and composing.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12a.Br,Retell texts and recount experiences using increasingly detailed complete sentences and key words.,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12b.Ex,"Use a growing number of general academic and domain-specific words in order to add detail or to create shades of meaning (e.g., using the word scurry versus run) while speaking and composing.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12a.Ex,Retell texts and recount experiences using complete sentences and key words.,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12b.Em,"Use a select number of general academic and domain-specific words to add detail (e.g., adding the word spicy to describe a favorite food, using the word larva when explaining insect metamorphosis) while speaking and composing.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.12a.Em,Retell texts and recount experiences using a select set of key words.,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
45BB5F05CF6B448B9EDF4E917819C5E2,Selecting and applying varied and precise vocabulary and language structures to effectively convey ideas,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.11.Br,"Offer opinions and provide good reasons with detailed textual evidence or relevant background knowledge (e.g., specific examples from text or knowledge of content).",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.11.Ex,"Offer opinions and provide good reasons and some textual evidence or relevant background knowledge (e.g., paraphrased examples from text or knowledge of content).",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.11.Em,"Offer opinions and provide good reasons (e.g., My favorite book is X because X.) referring to the text or to relevant background knowledge.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
AC762AA06C58455C84D0D14E94D0C79B,Supporting own opinions and evaluating others' opinions in speaking and writing,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.10.Br,"Draw, dictate, and write to compose longer literary texts (e.g., story) and informational texts (e.g., an information report on dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and independently using appropriate text organization.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.10.Ex,"Draw, dictate, and write to compose short literary texts (e.g., story) and informational texts (e.g., a description of dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and with increasing independence.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.10.Em,"Draw, dictate, and write to compose very short literary texts (e.g., story) and informational texts (e.g., a description of a dog), using familiar vocabulary collaboratively in shared language activities with an adult (e.g., joint construction of texts), with peers, and sometimes independently.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
6CA9ED53EF3E41519E5751EB2E81A501,"Composing/writing literary and informational texts to present, describe, and explain ideas and information, using appropriate technology",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.9.Br,"Plan and deliver longer oral presentations on a variety of topics in a variety of content areas (e.g., retelling a story, describing a science experiment).",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.9.Ex,"Plan and deliver brief oral presentations on a variety of topics (e.g., show and tell, author's chair, recounting an experience, describing an animal).",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.9.Em,"Plan and deliver very brief oral presentations (e.g., show and tell, describing a picture).",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
6908E9ED9E7B447FB4B38CCAC5A1A470,Expressing information and ideas in formal oral presentations on academic topics,English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
8CE4BA4577EB4FB6AC34E9F66CB79746,Productive (creation of oral presentations and written texts),English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.8.Br,"Distinguish how multiple different words with similar meaning (e.g., walk, march, strut, prance) produce shades of meaning and a different effect.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.8.Ex,"Distinguish how two different words with similar meaning (e.g., describing an action as walk versus march) produce shades of meaning and a different effect.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.8.Em,"Distinguish how two different frequently used words (e.g., describing an action with the verb walk versus run) produce a different effect.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
F121BB20CAA147F6BC0B6DE637A640D5,"Analyzing how writers and speakers use vocabulary and other language resources for specific purposes (to explain, persuade, entertain, etc.) depending on modality, text type, purpose, audience, topic, and content area",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.7.Br,"Describe the language an author uses to present or support an idea (e.g., the vocabulary used to describe people and places), with prompting and light support.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
ELD.PI.K.7.Ex,"Describe the language an author uses to present an idea (e.g., the adjectives used to describe a character), with prompting and moderate support.",English Language Development (2012-),TK,,,California,2012,http://www.cde.ca.gov/sp/el/er/documents/eldstndspublication14.pdf
