Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
F8880580DFE3013190A268A86D17958E,Skills for this content area are not identified until grade one.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F887BFE0DFE3013190A168A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.P,"Demonstrate ways to prevent the transmission of germs (e.g., washing hands, using tissues).",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.P,Show effective dental and personal hygiene practices.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F886EB20DFE30131909E68A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F886A7E0DFE30131909D68A86D17958E,Skills for this content area are not identified until grade one.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8866180DFE30131909C68A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8861B70DFE30131909B68A86D17958E,Skills for this content area are not identified until grade one.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F885CF90DFE30131909A68A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.P,Demonstrate how to ask for assistance with a health-related problem.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8853790DFE30131909868A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.P,Identify health care workers who can help promote healthy practices.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8849FA0DFE30131909668A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8844CA0DFE30131909568A86D17958E,Skills for this content area are not identified until grade one.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F883E450DFE30131909468A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.P,"Identify practices that are good for the environment, such as turning off lights and water, recycling, and picking up trash.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.P,Explain why the transmission of germs may be harmful to health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.P,"Define ""germs.""",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.P,Describe sun-safety practices.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.P,Identify effective dental and personal hygiene practices.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8821440DFE30131908E68A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F881B820DFE30131908D68A86D17958E,Personal and Community Health,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.M,Encourage others when they engage in safe and healthy behaviors.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8812760DFE30131908B68A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.3.M,Discuss suicide-prevention strategies.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.M,"Describe positive ways to show care, consideration, and concern for others.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.M,Express emotions appropriately.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8804A90DFE30131908868A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
6.1.M,Make a plan to help family members at home.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87FAA20DFE30131908668A86D17958E,Goal Setting - All students will demonstrate the ability to use goal-setting skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87F58E0DFE30131908568A86D17958E,Skills for this content area are not identified until grade two.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87F02B0DFE30131908468A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.M,Cooperate and share with others.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.M,Show how to express personal needs and wants appropriately.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87E1F40DFE30131908168A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.M,Identify trusted adults at home and at school who can help with mental and emotional health concerns.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87D8E20DFE30131907F68A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
2.1.M,Identify ways family and friends help promote well-being.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87CB210DFE30131907D68A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.M,"Describe and practice situations when it is appropriate to use ""Please,"" ""Thank you,"" ""Excuse me,"" and ""I'm sorry.""",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.M,Describe characteristics that make each individual unique.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.M,Identify trusted adults at home and at school.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.M,Describe the characteristics of families.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.M,Identify a variety of emotions.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87B0D00DFE30131907768A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F87AB0A0DFE30131907668A86D17958E,"Mental, Emotional, and Social Health",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.A,Recognize that tobacco smoke is harmful to health and should be avoided.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.A,Recognize that some household products are harmful if ingested or inhaled.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.A,Recognize that medicines should be taken only under the supervision of a trusted adult.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.A,Explain that medicines can be helpful or harmful.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.A,Explain why medicines are used.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F878D5D0DFE30131907068A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8789330DFE30131906F68A86D17958E,"Alcohol, Tobacco, and Other Drugs",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
8.1.S,Show how to tell a trusted adult when you or a friend find a weapon.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8780780DFE30131906D68A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.S,Show how to cross the street safely.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.S,Follow rules for safe play and safety routines.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F876F960DFE30131906A68A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.2.S,"Role-play what to do if a stranger at home, in a car, or on the street approaches you.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
5.1.S,Identify situations when it is necessary to seek adult help or call 9-1-1.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8762A30DFE30131906768A86D17958E,Decision Making - All students will demonstrate the ability to use decision-making skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.2.S,Show how to answer the phone in a safe way.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
4.1.S,Demonstrate how to ask a trusted adult for help or call 9-1-1.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8752A50DFE30131906468A86D17958E,Interpersonal Communication - All students will demonstrate the ability to use interpersonal communication skills to enhance health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
3.1.S,Identify trusted adults who can help in emergency situations.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8748500DFE30131906268A86D17958E,"Accessing Valid Information - All students will demonstrate the ability to access and analyze health information, products, and services.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F8744190DFE30131906168A86D17958E,Skills for this content area are not identified until grade one.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F873F890DFE30131906068A86D17958E,Analyzing Influences - All students will demonstrate the ability to analyze internal and external influences that affect health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.13.S,Explain the importance of telling a trusted adult if you see or hear about someone having a weapon.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.12.S,Define and explain the dangers of weapons.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.11.S,Demonstrate how to ask trusted adults for help.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.10.S,Identify people who are strangers and how to avoid contact with strangers.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.9.S,Recognize that anything may be poisonous or cause harm if used unsafely.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.8.S,"Identify ways to stay safe when crossing streets, riding a bicycle, or playing.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.7.S,Recognize the characteristics of bullying.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.6.S,Describe school rules about getting along with others.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.S,Explain that everyone has the right to tell others not to touch his or her body.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.S,Distinguish between appropriate and inappropriate touching.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.S,Explain ways to stay safe when riding in a bus or other vehicle.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.S,Identify emergency situations.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.S,"Identify safety rules for the home, the school, and the community.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86FBA10DFE30131905268A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86F7080DFE30131905168A86D17958E,Injury Prevention and Safety,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.6.G,Name and describe the five senses.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.5.G,Name body parts and their functions.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.4.G,"Identify trusted adults who promote healthy growth and development (e.g., physicians, nurses, dentists, and optometrists).",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.3.G,Name ways in which people are similar and ways in which they are different.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.2.G,Describe their own physical characteristics.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
1.1.G,Explain that living things grow and mature.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86D6720DFE30131904A68A86D17958E,Essential Concepts - All students will comprehend essential concepts related to enhancing health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86D0BF0DFE30131904968A86D17958E,Growth and Development,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86CB730DFE30131904868A86D17958E,Skills for this content area are not identified until grade two.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86C6EB0DFE30131904768A86D17958E,"Health Promotion - All students will demonstrate the ability to promote and support personal, family, and community health.",Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.3.N,Choose healthy foods in a variety of settings.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.2.N,Plan a nutritious breakfast.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
7.1.N,Select nutritious snacks.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86B21B0DFE30131904368A86D17958E,Practicing Health-Enhancing Behaviors - All students will demonstrate the ability to practice behaviors that reduce risk and promote health.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
F86AD8B0DFE30131904268A86D17958E,Skills for this content area are not identified until grade two.,Health (2008-),TK,,,California,2008,http://www.cde.ca.gov/be/st/ss/documents/healthstandmar08.pdf
