Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
K.6.3,"Understand how people lived in earlier times and how their lives would be different today (e.g., getting water from a well, growing food, making clothing, having fun, forming organizations, living by rules and laws).",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.6.2,"Know the triumphs in American legends and historical accounts through the stories of such people as Pocahontas, George Washing-ton, Booker T. Washington, Daniel Boone, and Benjamin Franklin.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.6.1,"Identify the purposes of, and the people and events honored in, commemorative holidays, including the human struggles that were the basis for the events (e.g., Thanksgiving, Independence Day, Washington's and Lincoln's Birthdays, Martin Luther King Jr. Day, Memorial Day, Labor Day, Columbus Day, Veterans Day).",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.6,"Students understand that history relates to events, people, and places of other times.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.5,"Students put events in temporal order using a calendar, placing days, weeks, and months in proper order.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4.5,"Demonstrate familiarity with the school's layout, environs, and the jobs people do there.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4.4,"Construct maps and models of neighborhoods, incorporating such structures as police and fire stations, airports, banks, hospitals, supermarkets, harbors, schools, homes, places of worship, and transportation lines.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4.3,"Identify traffic symbols and map symbols (e.g., those for land, water, roads, cities).",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4.2,Distinguish between land and water on maps and globes and locate general areas referenced in historical legends and stories.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4.1,"Determine the relative locations of objects using the terms near/far, left/right, and behind/in front.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.4,"Students compare and contrast the locations of people, places, and environments and describe their characteristics.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.3,"Students match simple descriptions of work that people do and the names of related jobs at the school, in the local community, and from historical accounts.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.2,"Students recognize national and state symbols and icons such as the national and state flags, the bald eagle, and the Statue of Liberty.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.1.3,Know beliefs and related behaviors of characters in stories from times past and understand the consequences of the characters' actions.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.1.2,"Learn examples of honesty, courage, determination, individual responsibility, and patriotism in American and world history from stories and folklore.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.1.1,"Follow rules, such as sharing and taking turns, and know the consequences of breaking them.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K.1,Students understand that being a good citizen involves acting in certain ways.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
BD2D8740DFE40131FFDF68A86D17958E,Learning and Working Now and Long Ago,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.HI.4,Students conduct cost-benefit analyses of historical and current events.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.HI.3,Students identify and interpret the multiple causes and effects of historical events.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.HI.2,Students identify the human and physical characteristics of the places they are studying and explain how those features form the unique character of those places.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.HI.1,Students summarize the key events of the era they are studying and explain the historical contexts of those events.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
BD2C32D0DFE40131FFDA68A86D17958E,Historical Interpretation,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.REP.3,Students distinguish fact from fiction by comparing documentary sources on historical figures and events with fictionalized characters and events.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.REP.2,"Students pose relevant questions about events they encounter in historical documents, eyewitness accounts, oral histories, letters, diaries, artifacts, photographs, maps, artworks, and architecture.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.REP.1,Students differentiate between primary and secondary sources.,History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
BD2B1F20DFE40131FFD668A86D17958E,"Research, Evidence, and Point of View",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
K-5.CST.5,"Students judge the significance of the relative location of a place (e.g., proximity to a harbor, on trade routes) and analyze how relative advantages or disadvantages can change over time.",History-Social Science,TK,,,California,1998,http://www.cde.ca.gov/be/st/ss/documents/histsocscistnd.pdf
