Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
478BC47996D6421BA1139A1091249180,Understand and respond to nonfiction.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
668BE2F699034B34AE321E42B31CE3E2,"Understand and respond to stories based on well-known characters, themes, plots, and settings.",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
9D9B20079A354D958BCF41C4A5EABE5E,Appreciate and respond to creative expressions of information:,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
49E5B4223B0C473DA8D05CE8F46AF56D,Share information and ideas in a clear and concise manner.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
5BDBEC46DE184AFE9D69B12B36019D45,"Seek, produce, and share information:",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
09F86128903E4B829C3F469CC12A15FD,Identify a personal interest and possible information resources to learn more about it.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
3D23ED26A25E4CE8B47C3F055BF4DBD3,Read or be read to from a variety of sources.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
A587B589EB4D454197632AD4A492C9F0,"Read widely and use various media for information, personal interest, and lifelong learning:",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
15175635A4444C8C942390A2DF147F08,Students integrate information literacy skills into all areas of learning.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
846B006310E34401A50B8A0631E8D89B,Use a picture or other visual aid when telling a story.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
0390F241E2E24ABA9E1E1E485FA6A23D,"Use information and technology creatively to answer a question, solve a problem, or enrich understanding:",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
A3C91BD7B4F94D038F20FAFC13513A4F,Participate in completion of a graphic organizer showing aspects of a topic.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
B20B9A0FF8A24E2B97E693DB1B9810B8,Draw conclusions and make informed decisions:,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
509561B188134505BF5B2CD0BB109905,"Understand the need to ask a trusted adult for permission when asked to provide personal information in person, on a form, or online.",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
7EC280422DCE41E18260E9B80C9784BA,Understand the need to adhere to privacy and safety guidelines.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
33A9EC919C71435FB197BCC77F4103C9,"Demonstrate ethical, legal, and safe use of information in print, media, and online resources:",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
E52DAC5DF2D4494CB9A5FDA591029DEF,Students use information.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
0AB6499F63664B5F91D5C081DE1A8D4F,Recognize that a trusted adult is a resource for information.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
CDBC96B4B4CF45D1A99D57C0A49A53C0,Consider the need for additional information:,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
F22BD45C6691464BB08D63A4A2259ECE,"Identify basic facts and ideas in what was read, heard, seen, or voiced.",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
BEAD3CA685604E66AD0724A82576E3D7,"Assess the comprehensiveness, currency, credibility, authority, and accuracy of resources:",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
9D1DD071D0F941548C970C83FEC105B0,"Connect the information and events in print, media, and digital resources to life experiences.",Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
29862CC28D754251AD4E3B82C5C6562C,Determine the relevance of the information:,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
69D0CF61847D4F1FBA6D63D6DE4C69B9,Students evaluate information.,Library (2010-),TK,,,California,2010,http://www.cde.ca.gov/be/st/ss/documents/librarystandards.pdf
