Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
F5F76490DFE301318C9E68A86D17958E,Participate as a leader and a follower during physical activities.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F72280DFE301318C9D68A86D17958E,Group Dynamics,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F6DD00DFE301318C9C68A86D17958E,Describe how positive social interaction can make physical activity with others more fun.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F69010DFE301318C9B68A86D17958E,Demonstrate the characteristics of sharing in a physical activity.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F650F0DFE301318C9A68A86D17958E,Social Interaction,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F612C0DFE301318C9968A86D17958E,Participate willingly in physical activities.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F5D400DFE301318C9868A86D17958E,Identify the feelings that result from participation in physical activity.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F59480DFE301318C9768A86D17958E,Self-Responsibility,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F551F0DFE301318C9668A86D17958E,"Students demonstrate and utilize knowledge of psychological and sociological concepts, principles, and strategies that apply to the learning and performance of physical activity.",Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F50A70DFE301318C9568A86D17958E,"Explain that the body is composed of bones, organs, fat, and other tissues.",Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F4B4D0DFE301318C9468A86D17958E,Body Composition,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F469E0DFE301318C9368A86D17958E,Identify the body part involved when stretching.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F41EA0DFE301318C9268A86D17958E,Flexibility,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F3DB20DFE301318C9168A86D17958E,Describe the role of muscles in moving the bones.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F39310DFE301318C9068A86D17958E,"Explain that strong muscles help the body to climb, hang, push, and pull.",Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F34B60DFE301318C8F68A86D17958E,Muscular Strength/Endurance,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F2F8B0DFE301318C8E68A86D17958E,Identify the location of the lungs and explain the role of the lungs in the collection of oxygen.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F2B0C0DFE301318C8D68A86D17958E,Explain that physical activity increases the heart rate.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F26EE0DFE301318C8C68A86D17958E,Identify the location of the heart and explain that it is a muscle.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F22ED0DFE301318C8B68A86D17958E,Aerobic Capacity,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F1EB80DFE301318C8A68A86D17958E,Explain that nutritious food provides energy for physical activity.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F1A0B0DFE301318C8968A86D17958E,Describe the role of water as an essential nutrient for the body.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F15230DFE301318C8868A86D17958E,Identify physical activities that are enjoyable and challenging.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F113C0DFE301318C8768A86D17958E,Fitness Concepts,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F0D210DFE301318C8668A86D17958E,"Students demonstrate knowledge of physical fitness concepts, principles, and strategies to improve health and performance.",Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F09030DFE301318C8568A86D17958E,Identify indicators of increased capacity to participate in vigorous physical activity.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F050B0DFE301318C8468A86D17958E,Assessment,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5F00750DFE301318C8368A86D17958E,Sustain continuous movement for increasing periods of time while participating in moderate to vigorous physical activity.,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5EFB3F0DFE301318C8268A86D17958E,Body Composition,Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
F5EF4D00DFE301318C8168A86D17958E,"Stretch shoulders, legs, arms, and back without bouncing.",Physical Education,TK,,,California,2005,http://www.cde.ca.gov/be/st/ss/documents/pestandards.pdf
