Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
1.1,Identify and apply a variety of math­ ematical strategies to solve problems in their environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,Identify and apply a variety of math­ ematical strategies to solve problems in their environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children expand the use of mathematical thinking to solve problems that arise in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children expand the use of mathematical thinking to solve problems that arise in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 60 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 60 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,Begin to apply simple mathematical strategies to solve problems in their environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,Begin to apply simple mathematical strategies to solve problems in their environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children use mathematical thinking to solve problems that arise in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children use mathematical thinking to solve problems that arise in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 48 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 48 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Mathematical Reasoning*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Mathematical Reasoning*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
2.1,"Identify positions of objects and
people in space, including in/on/
under, up/down, inside/outside,
beside/between, and in front/behind. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
2.1,"Identify positions of objects and
people in space, including in/on/
under, up/down, inside/outside,
beside/between, and in front/behind. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,"Children expand their
understanding of positions
in space. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,"Children expand their
understanding of positions
in space. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,Combine different shapes to create a picture or design.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,Combine different shapes to create a picture or design.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,"Identify, describe, and construct a variety of different shapes, including variations of a circle, triangle, rect­ angle, square, and other shapes.",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,"Identify, describe, and construct a variety of different shapes, including variations of a circle, triangle, rect­ angle, square, and other shapes.",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children identify and use a variety of shapes in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children identify and use a variety of shapes in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 60 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 60 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
2.1,"Identify positions of objects and
people in space, such as in/on/
under, up/down, and inside/outside. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
2.1,"Identify positions of objects and
people in space, such as in/on/
under, up/down, and inside/outside. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,"Children begin to understand
positions in space. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,"Children begin to understand
positions in space. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,"Use individual shapes to represent different elements of a picture
or design. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,"Use individual shapes to represent different elements of a picture
or design. ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,"Identify simple two-dimensional shapes, such as a circle and square.",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,"Identify simple two-dimensional shapes, such as a circle and square.",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children begin to identify and use common shapes in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Children begin to identify and use common shapes in their everyday environment.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 48 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,At around 48 months of age,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Geometry*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
,Geometry*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.3,Measure length using multiple duplicates of the same-size concrete units laid end to end.*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.3,Measure length using multiple duplicates of the same-size concrete units laid end to end.*,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,Order four or more objects by size.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.2,Order four or more objects by size.,Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
1.1,"Compare two objects by length, weight, or capacity directly
(e.g., putting objects side by side) or indirectly (e.g., using a third object). ",Preschool Learning Foundations (2008-),TK,,,California,,https://www.cde.ca.gov/sp/cd/re/documents/preschoollf.pdf
