Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
K-2-ETS1-3,Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-2,"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem.",Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1-1,"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool.",Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-2-ETS1,Engineering Design,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS3-2,Use tools and materials to design and build a structure that will reduce the warming effect of sunlight on an area.,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS3-1,Make observations to determine the effect of sunlight on Earth's surface.,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS3,Energy,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS2-2,Analyze data to determine if a design solution works as intended to change the speed or direction of an object with a push or a pull.,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS2-1,Plan and conduct an investigation to compare the effects of different strengths or different directions of pushes and pulls on the motion of an object.,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-PS2,Motion and Stability: Forces and Interactions,Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
K-ESS3-3,"Communicate solutions that will reduce the impact of humans on the land, water, air, and/or other living things in the local environment.",Science,TK,,,California,2013,http://www.cde.ca.gov/pd/ca/sc/ngssstandards.asp
