Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
CD 9.B.1,Identify helper jobs that are available in the classroom.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 9.B,Job Seeking Skills,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 9.A.1,Identify personal and ethical skills needed to work cooperatively with others in a group at school.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 9.A,Personal Skills for Job Success,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 9,Applying Employment Readiness Skills And The Skills For On-The-Job Success.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 8.B.1,Identify the skills family members use in their work.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 8.B,Education and Career Requirements,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 8.A.1,Identify roles and responsibilities of family members in the world of work.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 8.A,Career Decision Making,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 8,Knowing Where And How To Obtain Information About The World Of Work And Post-Secondary Training/Education.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.C.1,Recognize that all work is important.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.C,Respect for All Work,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.B.1,Identify workers in the school and in families related to the six (6) career paths.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.B,Adaptations to World of Work Changes,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.A.1,Identify likes and dislikes at home and school.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7.A,Integration of Self-knowledge into Life and Career Plans,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD 7,Applying Career Exploration And Planning Skills In The Achievement Of Life Career Goals.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
CD,Career Development,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
AD  6.A.1   ,Identify the skills needed to be a successful learner.,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
AD 6.A,Educational Planning for Life-long Learning,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
AD 6,Developing and Monitoring Personal Educational Plans,Social-Emotional Development,TK,,,California,,https://www.teacherease.com/app/standards/StandardTreeView?sid=3347&state=MO
