Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
5.G.1,Students can name the likely consequences of their actions with support. Students explore cause and effect and how choices can have impacts far beyond themselves.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.F.1,"Students can explain and begin to practice stop, think, act strategies.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Agency,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.E.1,"Students identify ways that they can help and why it is important to be a helper at home, at school, and in other settings. Students begin to explore the concept of citizenship and what it means to be a good citizen or participant in a democracy.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.D.1,Students understand why safety rules exist. Students can describe physically unsafe behaviors and choices in their learning and home environments. Students can demonstrate safe behavior.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Belonging,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.C.1,Students describe personal and social problems and can name possible solutions with support.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.B.1,Students demonstrate honesty and fairness and can explain the importance of both to relationships. Students explore caring and ethical actions on behalf of our planet.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
5.A.1,Students express curiosity and openness to new people and situations. Students are interested in new experiences.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
,Identity,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tseldecisionmaking.asp
4.H.1,Students recognize all people have the right to be treated fairly. Students understand the difference between tattling and reporting and know when it is important to report something to an adult.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.G.1,"Students communicate their own ideas, wants, and needs without negatively impacting others.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.F.1,Students can effectively apologize by recognizing what happened and owning their own actions.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.E.1,Students identify and talk through a problem and generate solutions with others.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Agency,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.D.1,Students show willingness to learn about the cultures of others. Students take pride in their own culture and share information with others.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.C.1,Students identify what it means to be a good friend. Students demonstrate gratitude toward others.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Belonging,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.B.1,Students practice ways to be a leader and contribute to groups in their learning context.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
4.A.1,Students begin to identify inappropriate requests and situations. They understand they can say “no” and respect when others say “no” to them.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
,Identity,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselrelationshipskills.asp
3.G.1,"Students name ways that they can contribute to or participate in groups and communities and how they can be helpful, fair, compassionate, and respectful to those in other groups or communities.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.F.1,Students describe and demonstrate fairness toward others. Students can describe how rules can benefit some people over others. Students cooperate and play with peers respectfully.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Agency,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.E.1,Students name groups or communities they are a part of and their qualities. Students demonstrate pride in belonging to their groups or communities and take action to make others feel welcome.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.D.1,Students describe what it means to be a helpful community member. Students can identify people in their learning environment and family that can support them when they need help.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.C.1,Students contribute to creating and maintaining shared agreements that guide their interactions with others and their environment. Students show kindness toward people of all backgrounds and experiences.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Belonging,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.B.1,Students recognize and name emotions in others using verbal and physical cues. Students describe how others may feel in a variety of situations and show empathy for others’ experiences.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
3.A.1,Students discuss similarities and differences between themselves and others and different social and cultural groups.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
,Identity,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselsocialawareness.asp
2.H.1,Students keep their spaces and belongings organized with guidance.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.G.1,Students begin practicing self-monitoring thoughts and actions and asking for help to stay motivated and focused. Students are aware of their body during active listening. Students are able to identify when they are focused and paying attention.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.F.1,Students identify personal and collective goals and name simple steps to achieve them.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Agency,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.E.1,Students understand and practice maintaining others’ stated emotional and physical boundaries.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.D.1,"Students understand the purpose of feedback and can listen to and accept simple, constructive feedback.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Belonging,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.C.1,Students identify and practice strategies they have used or can use to stay hopeful and “bounce back” from challenges.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.B.1,Students identify situations and relationships that calm them. Students understand and begin to practice how to be physically healthy in ways that are within their control.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
2.A.1,"Students practice noticing their emotions, where they experience them in their bodies, and using those signs to choose strategies to express feelings in helpful ways. Students practice strategies that help them to sustain joy and feel calmer, patient, focused and energized.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
,Identity,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfmanagement.asp
1.H.1,"Students believe in their capacity to learn and that they are capable, important community members. Students practice having an optimistic outlook.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.G.1,"Students are aware of, and distinguish between, their wants and needs. Students can name their strengths such as skills, knowledge, or talents.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.F.1,Students reflect on experiences as the causes of certain emotions. Students recognize the purpose of emotions and name simple ways their emotions influence their decisions and behavior.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Agency,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.E.1,"Students identify ways to help and practice helping others at school, home, and other settings.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.D.1,Students understand acceptance versus exclusion and how they help or harm others.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Belonging,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.C.1,"Students name people, places, and ideas that are important to them. Students can describe their own family traditions.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.B.1,"Students recognize, label, and understand basic emotions in themselves and know that more than one emotion can be experienced at once. Students are aware of how emotions can affect their body.",Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
1.A.1,Students name their personal characteristics and life experiences and have an increasingly accurate basic sense of self. Students are aware of their own likes and dislikes.,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
,Identity,Social-Emotional Learning,TK,1-2,,California,,https://www.cde.ca.gov/ci/se/tselselfawareness.asp
