Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
0B3840C6D91C418A8FCA1645DE382F42,Discuss how art is used to illustrate stories.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
5AE43137C4EE409ABF16BEC17E3976AB,Careers and Career-Related Skills,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
8589D3658AAE43239EFD8B4093631663,"Identify images of self, friends, and family (including snapshots and the students' own works of art).",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
B7CA7EA8FD084AC9A825A0C545190231,Visual Literacy,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
83AAC695AA8B4F44AD43EE46883548D7,"Name colors and draw an object, using the colors (e.g., red balloon, green leaf, brown dog, yellow sun).",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
94C9414984C8475C8F929C6A4C14E11F,"Create visual patterns (e.g., line, line, dot; line, line, dot) to match rythms made by clapping or drumming the beat found in selected poems or songs.",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
3EA63ECC0DB24DE087E22EBCBAEE450D,Connections and Applications,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
788AFAD70F5D4F2C8F836C1A4B2EA6E3,"Connections, Relationships, Applications - Connecting and Applying What Is Learned in the Visual Arts to Other Art Forms and Subject Areas and to Careers",Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
FD2B5919706C4DAEAB5D3EA35EE715F3,Select works of art by others and tell what they like about them.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
BA7FE79DBA4A4C23A0BE8BB60888CDBF,Discuss what they like about their own works of art.,Visual & Performing Arts (2001-2019),TK,,,California,2001,http://www.cde.ca.gov/be/st/ss/documents/vpastandards.pdf
