Standard_ID,Standard_Text,Subject,Grade_Level,Range,Interdisciplinary,Framework_Type,Adoption_Date,Source_URL
,,World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"6. Usan las palabras y las frases que han aprendido
a través de conversaciones, al leer y al escuchar
cuando se les lee, o al responder a los textos.",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"d. Distinguen los matices de significado entre verbos
que describen la misma acción general (ejemplo:
gatear, caminar, marchar, correr) actuando sus
significados.",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"c. Identifican las conexiones en la vida real entre
las palabras y sus usos (ejemplo: el describir
actividades divertidas en la escuela o en el parque
que son coloridos). ",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"b. Demuestran comprensión de los verbos y los
adjetivos de uso más frecuente, al relacionarlos
con sus opuestos (antónimos) (ejemplo: salirentrar;
perder-ganar; alto-bajo; grande-pequeño).",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"a. Clasifican objetos comunes en categorías
(ejemplo: formas, alimentos) para obtener un
sentido de los conceptos que representan las
categorías. ",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"5. Con la orientación y el apoyo de adultos, exploran
las relaciones y matices en los significados de las
palabras. ",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"b. Usan las inflexiones y los afijos de uso más
frecuente (ejemplo: re- bi-, -ita -ito, -ota –ote)
como clave para el significado de una palabra
desconocida.",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"a. Identifican y aplican correctamente nuevos
significados relacionados a palabras ya conocidas
(ejemplo: saber que el zapatero es la persona que
vende o arregla zapatos).",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"4. Determinan o aclaran el significado de palabras y
frases desconocidas y de palabras de significados
múltiples, en base a la lectura y el contenido
académico de kindergarten. ",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,Adquisición y uso de vocabulario,World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,3. (Se inicia en el 2do grado),World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,Conocimiento del lenguaje,World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"e. Reconocen el acento escrito (acento ortográfico)
en palabras sencillas y ya conocidas (mamá, papá,
José).",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,Acentuación,World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
,"d. Deletrean fonéticamente palabras sencillas,
usando el conocimiento de la relación entre
fonemas y grafemas.",World Languages - Spanish,TK,,,Common Core State Standards,,https://commoncore-espanol.sdcoe.net/Portals/commoncore-espanol/Documents/NA_ELA_SBS_Grade0K.pdf
